source_region,target_region,precision,recall,f1,iou,miou,oa
Jiuzhai valley (UAV-0.2m),Hokkaido Iburi-Tobu,0.3591,0.3523,0.3556,0.2163,0.5468,0.8814
Jiuzhai valley (UAV-0.5m),Hokkaido Iburi-Tobu,0.2396,0.8712,0.3758,0.2314,0.4693,0.7310
Lombok,Hokkaido Iburi-Tobu,0.4863,0.3720,0.4215,0.2671,0.5844,0.9051
Longxi River (SAT),Hokkaido Iburi-Tobu,0.3196,0.4850,0.3853,0.2386,0.5440,0.8562
Longxi River (UAV),Hokkaido Iburi-Tobu,0.2749,0.6749,0.3907,0.2428,0.5170,0.8043
Mengdong Township,Hokkaido Iburi-Tobu,0.2685,0.4187,0.3272,0.1956,0.5145,0.8399
Moxi town (UAV-0.2m),Hokkaido Iburi-Tobu,0.2365,0.7728,0.3621,0.2211,0.4742,0.7469
Moxi town (UAV-1m),Hokkaido Iburi-Tobu,0.4222,0.6099,0.4990,0.3324,0.6059,0.8861
Moxitaidi (SAT),Hokkaido Iburi-Tobu,0.1971,0.1910,0.1940,0.1074,0.4786,0.8525
Moxitaidi (UAV-0.6m),Hokkaido Iburi-Tobu,0.2651,0.3326,0.2950,0.1730,0.5103,0.8523
Moxitaidi (UAV-1m),Hokkaido Iburi-Tobu,0.3844,0.5273,0.4447,0.2859,0.5786,0.8776
palu,Hokkaido Iburi-Tobu,0.8195,0.0743,0.1362,0.0731,0.4924,0.9124
Tiburon Peninsula (planet),Hokkaido Iburi-Tobu,0.3866,0.5956,0.4689,0.3063,0.5867,0.8746
Tiburon Peninsula (Sentinel),Hokkaido Iburi-Tobu,0.5156,0.3105,0.3876,0.2404,0.5732,0.9088
Wenchuan,Hokkaido Iburi-Tobu,0.4261,0.5706,0.4878,0.3226,0.6025,0.8887
Hokkaido Iburi-Tobu,Jiuzhai valley (UAV-0.2m),0.3975,0.2704,0.3219,0.1918,0.4471,0.7220
Jiuzhai valley (UAV-0.5m),Jiuzhai valley (UAV-0.2m),0.7649,0.5750,0.6565,0.4886,0.6589,0.8532
Lombok,Jiuzhai valley (UAV-0.2m),0.4252,0.0224,0.0425,0.0217,0.3872,0.7541
Longxi River (SAT),Jiuzhai valley (UAV-0.2m),0.4306,0.6080,0.5042,0.3371,0.4972,0.7082
Longxi River (UAV),Jiuzhai valley (UAV-0.2m),0.6580,0.4609,0.5421,0.3718,0.5789,0.8100
Mengdong Township,Jiuzhai valley (UAV-0.2m),0.7510,0.4191,0.5380,0.3680,0.5862,0.8243
Moxi town (UAV-0.2m),Jiuzhai valley (UAV-0.2m),0.4804,0.8050,0.6017,0.4303,0.5534,0.7400
Moxi town (UAV-1m),Jiuzhai valley (UAV-0.2m),0.6845,0.3230,0.4389,0.2811,0.5312,0.7985
Moxitaidi (SAT),Jiuzhai valley (UAV-0.2m),0.6711,0.4267,0.5217,0.3529,0.5699,0.8091
Moxitaidi (UAV-0.6m),Jiuzhai valley (UAV-0.2m),0.7422,0.3676,0.4917,0.3260,0.5611,0.8145
Moxitaidi (UAV-1m),Jiuzhai valley (UAV-0.2m),0.8007,0.4296,0.5592,0.3881,0.6017,0.8347
palu,Jiuzhai valley (UAV-0.2m),0.7086,0.0173,0.0338,0.0172,0.3873,0.7585
Tiburon Peninsula (planet),Jiuzhai valley (UAV-0.2m),0.6154,0.2896,0.3938,0.2452,0.5056,0.7825
Tiburon Peninsula (Sentinel),Jiuzhai valley (UAV-0.2m),0.7043,0.0981,0.1722,0.0942,0.4292,0.7699
Wenchuan,Jiuzhai valley (UAV-0.2m),0.7178,0.4624,0.5625,0.3913,0.5967,0.8244
Hokkaido Iburi-Tobu,Jiuzhai valley (UAV-0.5m),0.5637,0.7039,0.6260,0.4556,0.6754,0.9036
Jiuzhai valley (UAV-0.2m),Jiuzhai valley (UAV-0.5m),0.5149,0.7207,0.6007,0.4293,0.6547,0.8901
Lombok,Jiuzhai valley (UAV-0.5m),0.2591,0.1257,0.1693,0.0925,0.4745,0.8585
Longxi River (SAT),Jiuzhai valley (UAV-0.5m),0.5778,0.6539,0.6135,0.4425,0.6702,0.9055
Longxi River (UAV),Jiuzhai valley (UAV-0.5m),0.3754,0.7274,0.4952,0.3291,0.5718,0.8299
Mengdong Township,Jiuzhai valley (UAV-0.5m),0.3676,0.2776,0.3163,0.1879,0.5229,0.8624
Moxi town (UAV-0.2m),Jiuzhai valley (UAV-0.5m),0.2579,0.7810,0.3878,0.2405,0.4650,0.7172
Moxi town (UAV-1m),Jiuzhai valley (UAV-0.5m),0.6092,0.4896,0.5429,0.3726,0.6362,0.9055
Moxitaidi (SAT),Jiuzhai valley (UAV-0.5m),0.5351,0.5211,0.5280,0.3587,0.6225,0.8932
Moxitaidi (UAV-0.6m),Jiuzhai valley (UAV-0.5m),0.5688,0.6349,0.6000,0.4286,0.6620,0.9029
Moxitaidi (UAV-1m),Jiuzhai valley (UAV-0.5m),0.5516,0.5411,0.5463,0.3758,0.6330,0.8969
palu,Jiuzhai valley (UAV-0.5m),0.6316,0.1178,0.1985,0.1102,0.4998,0.8910
Tiburon Peninsula (planet),Jiuzhai valley (UAV-0.5m),0.5147,0.5283,0.5214,0.3526,0.6171,0.8888
Tiburon Peninsula (Sentinel),Jiuzhai valley (UAV-0.5m),0.7691,0.2789,0.4093,0.2573,0.5810,0.9077
Wenchuan,Jiuzhai valley (UAV-0.5m),0.6136,0.5189,0.5623,0.3911,0.6463,0.9074
Hokkaido Iburi-Tobu,Lombok,0.0898,0.6825,0.1587,0.0862,0.4306,0.7796
Jiuzhai valley (UAV-0.2m),Lombok,0.0671,0.6510,0.1216,0.0647,0.3862,0.7135
Jiuzhai valley (UAV-0.5m),Lombok,0.0660,0.8256,0.1222,0.0651,0.3472,0.6387
Longxi River (SAT),Lombok,0.0485,0.2340,0.0804,0.0419,0.4388,0.8368
Longxi River (UAV),Lombok,0.0708,0.3789,0.1192,0.0634,0.4454,0.8295
Mengdong Township,Lombok,0.0488,0.1357,0.0718,0.0372,0.4649,0.8931
Moxi town (UAV-0.2m),Lombok,0.0824,0.7200,0.1479,0.0798,0.4107,0.7472
Moxi town (UAV-1m),Lombok,0.0830,0.2737,0.1274,0.0680,0.4764,0.8857
Moxitaidi (SAT),Lombok,0.0503,0.4872,0.0912,0.0478,0.3737,0.7041
Moxitaidi (UAV-0.6m),Lombok,0.0770,0.3411,0.1257,0.0670,0.4605,0.8554
Moxitaidi (UAV-1m),Lombok,0.0465,0.2355,0.0777,0.0404,0.4344,0.8296
palu,Lombok,0.2275,0.0149,0.0280,0.0142,0.4913,0.9684
Tiburon Peninsula (planet),Lombok,0.0755,0.7623,0.1373,0.0737,0.3875,0.7082
Tiburon Peninsula (Sentinel),Lombok,0.2114,0.1375,0.1666,0.0909,0.5244,0.9581
Wenchuan,Lombok,0.0780,0.5092,0.1352,0.0725,0.4355,0.8016
Hokkaido Iburi-Tobu,Longxi River (SAT),0.5097,0.0862,0.1475,0.0796,0.4900,0.9012
Jiuzhai valley (UAV-0.2m),Longxi River (SAT),0.5523,0.1290,0.2092,0.1168,0.5094,0.9033
Jiuzhai valley (UAV-0.5m),Longxi River (SAT),0.5485,0.1088,0.1815,0.0998,0.5008,0.9028
Lombok,Longxi River (SAT),0.0412,0.0008,0.0016,0.0008,0.4500,0.8992
Longxi River (UAV),Longxi River (SAT),0.0065,0.0004,0.0007,0.0003,0.4479,0.8955
Mengdong Township,Longxi River (SAT),0.0260,0.0014,0.0027,0.0013,0.4486,0.8959
Moxi town (UAV-0.2m),Longxi River (SAT),0.1461,0.9052,0.2515,0.1439,0.2788,0.4663
Moxi town (UAV-1m),Longxi River (SAT),0.6494,0.0326,0.0622,0.0321,0.4671,0.9024
Moxitaidi (SAT),Longxi River (SAT),0.0269,0.0015,0.0028,0.0014,0.4486,0.8958
Moxitaidi (UAV-0.6m),Longxi River (SAT),0.5727,0.1689,0.2609,0.1500,0.5268,0.9052
Moxitaidi (UAV-1m),Longxi River (SAT),0.1304,0.8312,0.2255,0.1271,0.2552,0.4341
palu,Longxi River (SAT),0.0000,0.0000,0.0000,0.0000,0.4498,0.8997
Tiburon Peninsula (planet),Longxi River (SAT),0.2615,0.5050,0.3446,0.2081,0.5039,0.8096
Tiburon Peninsula (Sentinel),Longxi River (SAT),0.0380,0.0022,0.0042,0.0021,0.4488,0.8955
Wenchuan,Longxi River (SAT),0.3412,0.0373,0.0673,0.0348,0.4659,0.8975
