source_region,target_region,precision,recall,f1,iou,miou,oa
Jiuzhai valley (UAV-0.2m),Hokkaido Iburi-Tobu,0.2648,0.7013,0.3844,0.2379,0.5073,0.7912
Jiuzhai valley (UAV-0.5m),Hokkaido Iburi-Tobu,0.1568,0.9441,0.2690,0.1554,0.3162,0.5230
Lombok,Hokkaido Iburi-Tobu,0.4334,0.4697,0.4508,0.2910,0.5899,0.8936
Longxi River (SAT),Hokkaido Iburi-Tobu,0.2169,0.1443,0.1733,0.0949,0.4826,0.8720
Longxi River (UAV),Hokkaido Iburi-Tobu,0.2550,0.5587,0.3502,0.2123,0.5045,0.8073
Mengdong Township,Hokkaido Iburi-Tobu,0.4936,0.4035,0.4441,0.2854,0.5939,0.9061
Moxi town (UAV-0.2m),Hokkaido Iburi-Tobu,0.2547,0.5437,0.3469,0.2099,0.5047,0.8097
Moxi town (UAV-1m),Hokkaido Iburi-Tobu,0.5120,0.4560,0.4824,0.3179,0.6114,0.9090
Moxitaidi (SAT),Hokkaido Iburi-Tobu,0.2948,0.2454,0.2679,0.1546,0.5135,0.8753
Moxitaidi (UAV-0.6m),Hokkaido Iburi-Tobu,0.2945,0.3349,0.3134,0.1858,0.5225,0.8636
Moxitaidi (UAV-1m),Hokkaido Iburi-Tobu,0.5962,0.3779,0.4626,0.3009,0.6082,0.9184
palu,Hokkaido Iburi-Tobu,0.7652,0.3706,0.4994,0.3328,0.6306,0.9309
Tiburon Peninsula (planet),Hokkaido Iburi-Tobu,0.5141,0.5995,0.5535,0.3826,0.6437,0.9101
Tiburon Peninsula (Sentinel),Hokkaido Iburi-Tobu,0.3609,0.0158,0.0303,0.0154,0.4606,0.9059
Wenchuan,Hokkaido Iburi-Tobu,0.4193,0.5153,0.4624,0.3007,0.5919,0.8886
Hokkaido Iburi-Tobu,Jiuzhai valley (UAV-0.2m),0.6565,0.1028,0.1777,0.0975,0.4297,0.7679
Jiuzhai valley (UAV-0.5m),Jiuzhai valley (UAV-0.2m),0.8363,0.5899,0.6918,0.5288,0.6895,0.8718
Lombok,Jiuzhai valley (UAV-0.2m),0.4907,0.1015,0.1682,0.0918,0.4203,0.7550
Longxi River (SAT),Jiuzhai valley (UAV-0.2m),0.8024,0.3484,0.4859,0.3209,0.5621,0.8201
Longxi River (UAV),Jiuzhai valley (UAV-0.2m),0.6688,0.3814,0.4858,0.3208,0.5518,0.8030
Mengdong Township,Jiuzhai valley (UAV-0.2m),0.7004,0.5910,0.6411,0.4717,0.6415,0.8385
Moxi town (UAV-0.2m),Jiuzhai valley (UAV-0.2m),0.6391,0.5844,0.6105,0.4394,0.6136,0.8181
Moxi town (UAV-1m),Jiuzhai valley (UAV-0.2m),0.7222,0.4261,0.5360,0.3661,0.5826,0.8200
Moxitaidi (SAT),Jiuzhai valley (UAV-0.2m),0.7660,0.4010,0.5264,0.3572,0.5810,0.8239
Moxitaidi (UAV-0.6m),Jiuzhai valley (UAV-0.2m),0.7608,0.5268,0.6225,0.4519,0.6365,0.8441
Moxitaidi (UAV-1m),Jiuzhai valley (UAV-0.2m),0.7969,0.3559,0.4920,0.3263,0.5650,0.8207
palu,Jiuzhai valley (UAV-0.2m),0.5251,0.0224,0.0429,0.0219,0.3885,0.7565
Tiburon Peninsula (planet),Jiuzhai valley (UAV-0.2m),0.7946,0.2992,0.4347,0.2777,0.5364,0.8101
Tiburon Peninsula (Sentinel),Jiuzhai valley (UAV-0.2m),0.6254,0.0386,0.0727,0.0377,0.3976,0.7598
Wenchuan,Jiuzhai valley (UAV-0.2m),0.7589,0.4752,0.5844,0.4128,0.6131,0.8351
Hokkaido Iburi-Tobu,Jiuzhai valley (UAV-0.5m),0.3627,0.4441,0.3993,0.2495,0.5440,0.8468
Jiuzhai valley (UAV-0.2m),Jiuzhai valley (UAV-0.5m),0.5411,0.7850,0.6406,0.4712,0.6801,0.8990
Lombok,Jiuzhai valley (UAV-0.5m),0.4450,0.2726,0.3381,0.2034,0.5385,0.8776
Longxi River (SAT),Jiuzhai valley (UAV-0.5m),0.5859,0.6162,0.6007,0.4293,0.6641,0.9061
Longxi River (UAV),Jiuzhai valley (UAV-0.5m),0.4924,0.5081,0.5001,0.3334,0.6049,0.8835
Mengdong Township,Jiuzhai valley (UAV-0.5m),0.5498,0.3613,0.4361,0.2788,0.5835,0.8928
Moxi town (UAV-0.2m),Jiuzhai valley (UAV-0.5m),0.3686,0.6586,0.4727,0.3095,0.5636,0.8315
Moxi town (UAV-1m),Jiuzhai valley (UAV-0.5m),0.5730,0.3771,0.4549,0.2944,0.5930,0.8964
Moxitaidi (SAT),Jiuzhai valley (UAV-0.5m),0.1817,0.6241,0.2814,0.1638,0.3851,0.6345
Moxitaidi (UAV-0.6m),Jiuzhai valley (UAV-0.5m),0.5997,0.5049,0.5482,0.3776,0.6382,0.9046
Moxitaidi (UAV-1m),Jiuzhai valley (UAV-0.5m),0.6117,0.3955,0.4804,0.3161,0.6067,0.9019
palu,Jiuzhai valley (UAV-0.5m),0.7285,0.0795,0.1434,0.0772,0.4836,0.8910
Tiburon Peninsula (planet),Jiuzhai valley (UAV-0.5m),0.5347,0.3820,0.4456,0.2867,0.5864,0.8910
Tiburon Peninsula (Sentinel),Jiuzhai valley (UAV-0.5m),0.5808,0.0964,0.1654,0.0901,0.4886,0.8884
Wenchuan,Jiuzhai valley (UAV-0.5m),0.6071,0.4713,0.5307,0.3612,0.6301,0.9044
Hokkaido Iburi-Tobu,Lombok,0.1955,0.2990,0.2364,0.1340,0.5373,0.9411
Jiuzhai valley (UAV-0.2m),Lombok,0.1007,0.5959,0.1723,0.0943,0.4583,0.8256
Jiuzhai valley (UAV-0.5m),Lombok,0.0936,0.6683,0.1642,0.0895,0.4389,0.7927
Longxi River (SAT),Lombok,0.0581,0.3639,0.1002,0.0528,0.4258,0.8010
Longxi River (UAV),Lombok,0.0598,0.2537,0.0968,0.0508,0.4527,0.8557
Mengdong Township,Lombok,0.0523,0.1804,0.0811,0.0423,0.4585,0.8755
Moxi town (UAV-0.2m),Lombok,0.0759,0.7366,0.1377,0.0739,0.3932,0.7189
Moxi town (UAV-1m),Lombok,0.0795,0.2663,0.1225,0.0652,0.4740,0.8838
