source_region,target_region,precision,recall,f1,iou,miou,oa
Jiuzhai valley (UAV-0.2m),Hokkaido Iburi-Tobu,0.3131,0.6226,0.4166,0.2631,0.5456,0.8379
Jiuzhai valley (UAV-0.5m),Hokkaido Iburi-Tobu,0.2356,0.8471,0.3687,0.2260,0.4666,0.7303
Lombok,Hokkaido Iburi-Tobu,0.2704,0.2708,0.2706,0.1565,0.5086,0.8643
Longxi River (SAT),Hokkaido Iburi-Tobu,0.3242,0.5635,0.4116,0.2591,0.5506,0.8502
Longxi River (UAV),Hokkaido Iburi-Tobu,0.2532,0.6718,0.3677,0.2253,0.4981,0.7853
Mengdong Township,Hokkaido Iburi-Tobu,0.2761,0.3921,0.3240,0.1933,0.5178,0.8480
Moxi town (UAV-0.2m),Hokkaido Iburi-Tobu,0.2200,0.5810,0.3191,0.1899,0.4731,0.7695
Moxi town (UAV-1m),Hokkaido Iburi-Tobu,0.4473,0.6836,0.5407,0.3705,0.6276,0.8921
Moxitaidi (SAT),Hokkaido Iburi-Tobu,0.2918,0.2932,0.2925,0.1713,0.5179,0.8682
Moxitaidi (UAV-0.6m),Hokkaido Iburi-Tobu,0.4484,0.0812,0.1375,0.0738,0.4892,0.9053
Moxitaidi (UAV-1m),Hokkaido Iburi-Tobu,0.2657,0.4480,0.3336,0.2002,0.5133,0.8336
palu,Hokkaido Iburi-Tobu,0.6773,0.2589,0.3746,0.2304,0.5741,0.9196
Tiburon Peninsula (planet),Hokkaido Iburi-Tobu,0.3393,0.6152,0.4373,0.2799,0.5619,0.8529
Tiburon Peninsula (Sentinel),Hokkaido Iburi-Tobu,0.5183,0.0993,0.1667,0.0909,0.4989,0.9077
Wenchuan,Hokkaido Iburi-Tobu,0.3421,0.6843,0.4562,0.2955,0.5667,0.8483
Hokkaido Iburi-Tobu,Jiuzhai valley (UAV-0.2m),0.4829,0.2270,0.3088,0.1826,0.4601,0.7521
Jiuzhai valley (UAV-0.5m),Jiuzhai valley (UAV-0.2m),0.6977,0.5990,0.6446,0.4756,0.6434,0.8388
Lombok,Jiuzhai valley (UAV-0.2m),0.3845,0.0356,0.0652,0.0337,0.3911,0.7508
Longxi River (SAT),Jiuzhai valley (UAV-0.2m),0.7342,0.4655,0.5697,0.3983,0.6024,0.8284
Longxi River (UAV),Jiuzhai valley (UAV-0.2m),0.6426,0.3204,0.4276,0.2720,0.5224,0.7907
Mengdong Township,Jiuzhai valley (UAV-0.2m),0.5875,0.5799,0.5837,0.4121,0.5885,0.7981
Moxi town (UAV-0.2m),Jiuzhai valley (UAV-0.2m),0.5517,0.8172,0.6587,0.4911,0.6165,0.7933
Moxi town (UAV-1m),Jiuzhai valley (UAV-0.2m),0.6261,0.4448,0.5201,0.3514,0.5634,0.7997
Moxitaidi (SAT),Jiuzhai valley (UAV-0.2m),0.6590,0.5213,0.5821,0.4106,0.6007,0.8174
Moxitaidi (UAV-0.6m),Jiuzhai valley (UAV-0.2m),0.3308,0.8031,0.4686,0.3060,0.3765,0.5554
Moxitaidi (UAV-1m),Jiuzhai valley (UAV-0.2m),0.8154,0.3681,0.5073,0.3398,0.5740,0.8255
palu,Jiuzhai valley (UAV-0.2m),0.4201,0.0400,0.0730,0.0379,0.3939,0.7523
Tiburon Peninsula (planet),Jiuzhai valley (UAV-0.2m),0.6966,0.3674,0.4811,0.3167,0.5521,0.8066
Tiburon Peninsula (Sentinel),Jiuzhai valley (UAV-0.2m),0.5946,0.0629,0.1138,0.0603,0.4087,0.7609
Wenchuan,Jiuzhai valley (UAV-0.2m),0.7409,0.4545,0.5634,0.3921,0.5994,0.8281
Hokkaido Iburi-Tobu,Jiuzhai valley (UAV-0.5m),0.1379,0.4639,0.2126,0.1190,0.3514,0.6061
Jiuzhai valley (UAV-0.2m),Jiuzhai valley (UAV-0.5m),0.5149,0.8124,0.6303,0.4602,0.6698,0.8907
Lombok,Jiuzhai valley (UAV-0.5m),0.3385,0.2627,0.2958,0.1736,0.5128,0.8566
Longxi River (SAT),Jiuzhai valley (UAV-0.5m),0.5922,0.6342,0.6125,0.4414,0.6711,0.9080
Longxi River (UAV),Jiuzhai valley (UAV-0.5m),0.4867,0.4157,0.4484,0.2890,0.5829,0.8827
Mengdong Township,Jiuzhai valley (UAV-0.5m),0.4254,0.2994,0.3514,0.2132,0.5410,0.8733
Moxi town (UAV-0.2m),Jiuzhai valley (UAV-0.5m),0.4603,0.6504,0.5391,0.3690,0.6156,0.8725
Moxi town (UAV-1m),Jiuzhai valley (UAV-0.5m),0.7466,0.4253,0.5419,0.3717,0.6425,0.9175
Moxitaidi (SAT),Jiuzhai valley (UAV-0.5m),0.5464,0.5624,0.5543,0.3834,0.6363,0.8963
Moxitaidi (UAV-0.6m),Jiuzhai valley (UAV-0.5m),0.5422,0.3069,0.3920,0.2438,0.5653,0.8908
Moxitaidi (UAV-1m),Jiuzhai valley (UAV-0.5m),0.6258,0.3436,0.4436,0.2850,0.5911,0.9012
palu,Jiuzhai valley (UAV-0.5m),0.6485,0.0884,0.1556,0.0843,0.4866,0.8900
Tiburon Peninsula (planet),Jiuzhai valley (UAV-0.5m),0.3125,0.6346,0.4188,0.2648,0.5235,0.7980
Tiburon Peninsula (Sentinel),Jiuzhai valley (UAV-0.5m),0.6891,0.2677,0.3856,0.2389,0.5690,0.9022
Wenchuan,Jiuzhai valley (UAV-0.5m),0.5164,0.6167,0.5621,0.3909,0.6362,0.8898
Hokkaido Iburi-Tobu,Lombok,0.0835,0.7406,0.1502,0.0812,0.4099,0.7446
Jiuzhai valley (UAV-0.2m),Lombok,0.0596,0.8439,0.1113,0.0589,0.3188,0.5895
Jiuzhai valley (UAV-0.5m),Lombok,0.0781,0.5425,0.1365,0.0732,0.4303,0.7908
Longxi River (SAT),Lombok,0.0669,0.4608,0.1169,0.0621,0.4235,0.7879
Longxi River (UAV),Lombok,0.0541,0.2032,0.0855,0.0446,0.4556,0.8675
Mengdong Township,Lombok,0.0548,0.2038,0.0864,0.0451,0.4565,0.8686
Moxi town (UAV-0.2m),Lombok,0.0498,0.5148,0.0907,0.0475,0.3641,0.6857
