source_region,target_region,precision,recall,f1,iou,miou,oa
Jiuzhai valley (UAV-0.2m),Hokkaido Iburi-Tobu,0.2587,0.6729,0.3738,0.2298,0.5031,0.7904
Jiuzhai valley (UAV-0.5m),Hokkaido Iburi-Tobu,0.3162,0.7489,0.4446,0.2859,0.5495,0.8261
Lombok,Hokkaido Iburi-Tobu,0.3215,0.4509,0.3754,0.2311,0.5427,0.8605
Longxi River (SAT),Hokkaido Iburi-Tobu,0.3446,0.7114,0.4643,0.3024,0.5695,0.8474
Longxi River (UAV),Hokkaido Iburi-Tobu,0.2587,0.7008,0.3779,0.2329,0.5017,0.7855
Mengdong Township,Hokkaido Iburi-Tobu,0.2155,0.2761,0.2421,0.1377,0.4864,0.8393
Moxi town (UAV-0.2m),Hokkaido Iburi-Tobu,0.2905,0.5186,0.3724,0.2288,0.5291,0.8375
Moxi town (UAV-1m),Hokkaido Iburi-Tobu,0.4322,0.6971,0.5336,0.3638,0.6214,0.8867
Moxitaidi (SAT),Hokkaido Iburi-Tobu,0.2909,0.1898,0.2297,0.1298,0.5047,0.8817
Moxitaidi (UAV-0.6m),Hokkaido Iburi-Tobu,0.3313,0.0684,0.1133,0.0601,0.4800,0.9006
Moxitaidi (UAV-1m),Hokkaido Iburi-Tobu,0.3207,0.4804,0.3846,0.2381,0.5443,0.8571
palu,Hokkaido Iburi-Tobu,0.5529,0.5172,0.5344,0.3647,0.6383,0.9162
Tiburon Peninsula (planet),Hokkaido Iburi-Tobu,0.4886,0.2867,0.3614,0.2205,0.5619,0.9058
Tiburon Peninsula (Sentinel),Hokkaido Iburi-Tobu,0.5378,0.3206,0.4017,0.2513,0.5799,0.9112
Wenchuan,Hokkaido Iburi-Tobu,0.3314,0.7051,0.4509,0.2911,0.5601,0.8404
Hokkaido Iburi-Tobu,Jiuzhai valley (UAV-0.2m),0.6597,0.2716,0.3848,0.2382,0.5056,0.7881
Jiuzhai valley (UAV-0.5m),Jiuzhai valley (UAV-0.2m),0.6708,0.6079,0.6378,0.4682,0.6352,0.8315
Lombok,Jiuzhai valley (UAV-0.2m),0.2842,0.0644,0.1050,0.0554,0.3916,0.7321
Longxi River (SAT),Jiuzhai valley (UAV-0.2m),0.7370,0.5468,0.6278,0.4576,0.6375,0.8418
Longxi River (UAV),Jiuzhai valley (UAV-0.2m),0.6739,0.4629,0.5488,0.3782,0.5844,0.8143
Mengdong Township,Jiuzhai valley (UAV-0.2m),0.7335,0.3976,0.5156,0.3474,0.5728,0.8177
Moxi town (UAV-0.2m),Jiuzhai valley (UAV-0.2m),0.5929,0.7423,0.6592,0.4917,0.6315,0.8127
Moxi town (UAV-1m),Jiuzhai valley (UAV-0.2m),0.7567,0.4804,0.5877,0.4161,0.6149,0.8355
Moxitaidi (SAT),Jiuzhai valley (UAV-0.2m),0.6691,0.3459,0.4561,0.2954,0.5377,0.7986
