source_region,target_region,precision,recall,f1,iou,miou,oa
Jiuzhai valley (UAV-0.2m),Hokkaido Iburi-Tobu,0.3929,0.3719,0.3821,0.2362,0.5602,0.8882
Jiuzhai valley (UAV-0.5m),Hokkaido Iburi-Tobu,0.3593,0.7043,0.4758,0.3122,0.5789,0.8558
Lombok,Hokkaido Iburi-Tobu,0.3842,0.4823,0.4277,0.2720,0.5732,0.8800
Longxi River (SAT),Hokkaido Iburi-Tobu,0.3427,0.5221,0.4138,0.2609,0.5582,0.8625
Longxi River (UAV),Hokkaido Iburi-Tobu,0.2588,0.5914,0.3600,0.2195,0.5064,0.8046
Mengdong Township,Hokkaido Iburi-Tobu,0.5647,0.1663,0.2570,0.1474,0.5283,0.9106
Moxi town (UAV-0.2m),Hokkaido Iburi-Tobu,0.2365,0.6206,0.3425,0.2066,0.4858,0.7785
Moxi town (UAV-1m),Hokkaido Iburi-Tobu,0.2950,0.7169,0.4180,0.2642,0.5327,0.8144
Moxitaidi (SAT),Hokkaido Iburi-Tobu,0.2402,0.3037,0.2683,0.1549,0.4982,0.8460
Moxitaidi (UAV-0.6m),Hokkaido Iburi-Tobu,0.4954,0.1053,0.1737,0.0951,0.5005,0.9069
Moxitaidi (UAV-1m),Hokkaido Iburi-Tobu,0.2853,0.4856,0.3594,0.2191,0.5253,0.8391
palu,Hokkaido Iburi-Tobu,0.6924,0.3391,0.4552,0.2947,0.6084,0.9246
Tiburon Peninsula (planet),Hokkaido Iburi-Tobu,0.4245,0.4943,0.4567,0.2960,0.5907,0.8907
Tiburon Peninsula (Sentinel),Hokkaido Iburi-Tobu,0.5298,0.0470,0.0863,0.0451,0.4761,0.9075
Wenchuan,Hokkaido Iburi-Tobu,0.4091,0.4256,0.4172,0.2636,0.5743,0.8895
Hokkaido Iburi-Tobu,Jiuzhai valley (UAV-0.2m),0.4338,0.1725,0.2469,0.1408,0.4363,0.7431
Jiuzhai valley (UAV-0.5m),Jiuzhai valley (UAV-0.2m),0.7413,0.5941,0.6596,0.4921,0.6585,0.8504
Lombok,Jiuzhai valley (UAV-0.2m),0.3122,0.0913,0.1412,0.0760,0.3995,0.7292
Longxi River (SAT),Jiuzhai valley (UAV-0.2m),0.8471,0.3478,0.4931,0.3272,0.5683,0.8255
Longxi River (UAV),Jiuzhai valley (UAV-0.2m),0.6766,0.4505,0.5409,0.3707,0.5805,0.8134
Mengdong Township,Jiuzhai valley (UAV-0.2m),0.7659,0.4442,0.5623,0.3911,0.6009,0.8312
Moxi town (UAV-0.2m),Jiuzhai valley (UAV-0.2m),0.3937,0.8792,0.5439,0.3735,0.4577,0.6401
Moxi town (UAV-1m),Jiuzhai valley (UAV-0.2m),0.7652,0.3820,0.5096,0.3420,0.5721,0.8206
Moxitaidi (SAT),Jiuzhai valley (UAV-0.2m),0.7323,0.4426,0.5517,0.3810,0.5921,0.8245
Moxitaidi (UAV-0.6m),Jiuzhai valley (UAV-0.2m),0.6241,0.4280,0.5078,0.3403,0.5571,0.7975
Moxitaidi (UAV-1m),Jiuzhai valley (UAV-0.2m),0.5820,0.6362,0.6079,0.4367,0.5998,0.7997
palu,Jiuzhai valley (UAV-0.2m),0.6529,0.0542,0.1001,0.0527,0.4058,0.7622
Tiburon Peninsula (planet),Jiuzhai valley (UAV-0.2m),0.6896,0.3080,0.4258,0.2705,0.5257,0.7973
Tiburon Peninsula (Sentinel),Jiuzhai valley (UAV-0.2m),0.6039,0.0448,0.0834,0.0435,0.4003,0.7597
Wenchuan,Jiuzhai valley (UAV-0.2m),0.7198,0.4502,0.5539,0.3831,0.5922,0.8231
Hokkaido Iburi-Tobu,Jiuzhai valley (UAV-0.5m),0.3181,0.5002,0.3889,0.2414,0.5251,0.8197
Jiuzhai valley (UAV-0.2m),Jiuzhai valley (UAV-0.5m),0.5148,0.7790,0.6199,0.4492,0.6644,0.8905
Lombok,Jiuzhai valley (UAV-0.5m),0.4164,0.1700,0.2414,0.1373,0.5062,0.8775
Longxi River (SAT),Jiuzhai valley (UAV-0.5m),0.5437,0.5648,0.5541,0.3832,0.6359,0.8958
Longxi River (UAV),Jiuzhai valley (UAV-0.5m),0.4897,0.5010,0.4953,0.3292,0.6025,0.8829
Mengdong Township,Jiuzhai valley (UAV-0.5m),0.5343,0.2755,0.3635,0.2221,0.5539,0.8894
Moxi town (UAV-0.2m),Jiuzhai valley (UAV-0.5m),0.3967,0.5624,0.4652,0.3031,0.5723,0.8518
Moxi town (UAV-1m),Jiuzhai valley (UAV-0.5m),0.2201,0.5968,0.3216,0.1916,0.4408,0.7113
Moxitaidi (SAT),Jiuzhai valley (UAV-0.5m),0.6701,0.3966,0.4983,0.3318,0.6179,0.9084
Moxitaidi (UAV-0.6m),Jiuzhai valley (UAV-0.5m),0.5408,0.3448,0.4211,0.2667,0.5768,0.8913
Moxitaidi (UAV-1m),Jiuzhai valley (UAV-0.5m),0.1939,0.5991,0.2929,0.1716,0.4078,0.6684
palu,Jiuzhai valley (UAV-0.5m),0.7118,0.1239,0.2111,0.1180,0.5051,0.8938
Tiburon Peninsula (planet),Jiuzhai valley (UAV-0.5m),0.5767,0.4863,0.5277,0.3584,0.6263,0.9002
Tiburon Peninsula (Sentinel),Jiuzhai valley (UAV-0.5m),0.6698,0.3399,0.4509,0.2911,0.5962,0.9051
Wenchuan,Jiuzhai valley (UAV-0.5m),0.6214,0.3633,0.4585,0.2975,0.5974,0.9016
Hokkaido Iburi-Tobu,Lombok,0.1076,0.2425,0.1490,0.0805,0.4978,0.9156
Jiuzhai valley (UAV-0.2m),Lombok,0.0807,0.5694,0.1413,0.0760,0.4307,0.7891
Jiuzhai valley (UAV-0.5m),Lombok,0.0731,0.6740,0.1320,0.0706,0.3974,0.7299
Longxi River (SAT),Lombok,0.0621,0.3958,0.1073,0.0567,0.4269,0.7995
Longxi River (UAV),Lombok,0.0824,0.6168,0.1454,0.0784,0.4266,0.7791
Mengdong Township,Lombok,0.0548,0.2062,0.0866,0.0453,0.4560,0.8675
Moxi town (UAV-0.2m),Lombok,0.0664,0.4732,0.1164,0.0618,0.4199,0.7812
Moxi town (UAV-1m),Lombok,0.0919,0.6497,0.1610,0.0876,0.4386,0.7937
Moxitaidi (SAT),Lombok,0.0618,0.3728,0.1060,0.0559,0.4310,0.8084
Moxitaidi (UAV-0.6m),Lombok,0.0592,0.2005,0.0914,0.0479,0.4629,0.8786
Moxitaidi (UAV-1m),Lombok,0.0553,0.3414,0.0952,0.0500,0.4251,0.8023
palu,Lombok,0.5591,0.1342,0.2164,0.1213,0.5458,0.9704
Tiburon Peninsula (planet),Lombok,0.0763,0.7350,0.1383,0.0743,0.3944,0.7209
Tiburon Peninsula (Sentinel),Lombok,0.2821,0.0657,0.1066,0.0563,0.5113,0.9664
Wenchuan,Lombok,0.0741,0.3658,0.1232,0.0657,0.4526,0.8414
Hokkaido Iburi-Tobu,Longxi River (SAT),0.2458,0.0162,0.0304,0.0154,0.4564,0.8976
Jiuzhai valley (UAV-0.2m),Longxi River (SAT),0.1319,0.0133,0.0241,0.0122,0.4528,0.8936
Jiuzhai valley (UAV-0.5m),Longxi River (SAT),0.6212,0.4002,0.4868,0.3217,0.6173,0.9164
Lombok,Longxi River (SAT),0.0022,0.0000,0.0000,0.0000,0.4502,0.9004
Longxi River (UAV),Longxi River (SAT),0.4449,0.0577,0.1021,0.0538,0.4764,0.8995
Mengdong Township,Longxi River (SAT),0.2799,0.7465,0.4072,0.2556,0.5115,0.7846
Moxi town (UAV-0.2m),Longxi River (SAT),0.1605,0.8797,0.2715,0.1571,0.3224,0.5323
Moxi town (UAV-1m),Longxi River (SAT),0.7997,0.1635,0.2715,0.1571,0.5344,0.9131
Moxitaidi (SAT),Longxi River (SAT),0.6183,0.1920,0.2930,0.1717,0.5390,0.9082
Moxitaidi (UAV-0.6m),Longxi River (SAT),0.5292,0.5372,0.5332,0.3635,0.6325,0.9068
Moxitaidi (UAV-1m),Longxi River (SAT),0.1781,0.6735,0.2817,0.1639,0.3996,0.6596
palu,Longxi River (SAT),0.0000,0.0000,0.0000,0.0000,0.4499,0.8998
Tiburon Peninsula (planet),Longxi River (SAT),0.0007,0.0000,0.0001,0.0000,0.4476,0.8952
Tiburon Peninsula (Sentinel),Longxi River (SAT),0.0227,0.0013,0.0025,0.0012,0.4483,0.8954
Wenchuan,Longxi River (SAT),0.4438,0.0626,0.1097,0.0581,0.4784,0.8993
Hokkaido Iburi-Tobu,Longxi River (UAV),0.5144,0.3401,0.4095,0.2574,0.5425,0.8372
Jiuzhai valley (UAV-0.2m),Longxi River (UAV),0.4691,0.5039,0.4859,0.3209,0.5639,0.8230
Jiuzhai valley (UAV-0.5m),Longxi River (UAV),0.5571,0.5439,0.5504,0.3797,0.6088,0.8526
Lombok,Longxi River (UAV),0.5011,0.0224,0.0429,0.0219,0.4277,0.8341
Longxi River (SAT),Longxi River (UAV),0.5210,0.5177,0.5194,0.3508,0.5884,0.8410
Mengdong Township,Longxi River (UAV),0.7367,0.1456,0.2432,0.1384,0.4922,0.8496
Moxi town (UAV-0.2m),Longxi River (UAV),0.3312,0.6941,0.4484,0.2890,0.4844,0.7167
Moxi town (UAV-1m),Longxi River (UAV),0.5719,0.4844,0.5245,0.3555,0.5985,0.8543
Moxitaidi (SAT),Longxi River (UAV),0.4065,0.3693,0.3870,0.2399,0.5166,0.8059
Moxitaidi (UAV-0.6m),Longxi River (UAV),0.6170,0.4799,0.5399,0.3698,0.6112,0.8643
Moxitaidi (UAV-1m),Longxi River (UAV),0.4663,0.2388,0.3158,0.1875,0.5044,0.8283
palu,Longxi River (UAV),0.6909,0.0234,0.0453,0.0232,0.4294,0.8362
Tiburon Peninsula (planet),Longxi River (UAV),0.6302,0.1704,0.2682,0.1549,0.4981,0.8457
Tiburon Peninsula (Sentinel),Longxi River (UAV),0.5470,0.0187,0.0362,0.0185,0.4263,0.8346
Wenchuan,Longxi River (UAV),0.6073,0.4697,0.5297,0.3603,0.6051,0.8616
Hokkaido Iburi-Tobu,Mengdong Township,0.1558,0.1581,0.1569,0.0851,0.4572,0.8320
Jiuzhai valley (UAV-0.2m),Mengdong Township,0.1907,0.2039,0.1971,0.1093,0.4708,0.8357
