source_region,target_region,image_idx,wav_hf_ratio,fda_hf_ratio,wav_edge_sim,fda_edge_sim,wav_LH_corr,wav_HL_corr,wav_HH_corr,fda_LH_corr,fda_HL_corr,fda_HH_corr
Jiuzhai valley (UAV-0.2m),Hokkaido Iburi-Tobu,0,1.000000,0.987203,0.938978,0.953970,1.000000,1.000000,1.000000,0.997008,0.997407,0.994712
Jiuzhai valley (UAV-0.2m),Hokkaido Iburi-Tobu,1,1.000000,0.982731,0.964469,0.968586,1.000000,1.000000,1.000000,0.989895,0.995478,0.994658
Jiuzhai valley (UAV-0.2m),Hokkaido Iburi-Tobu,2,1.000000,0.987444,0.970072,0.993255,1.000000,1.000000,1.000000,0.997872,0.996823,0.997246
Jiuzhai valley (UAV-0.2m),Hokkaido Iburi-Tobu,3,1.000000,0.999639,0.878178,0.878260,1.000000,1.000000,1.000000,0.997802,0.998718,0.997485
Jiuzhai valley (UAV-0.2m),Hokkaido Iburi-Tobu,4,1.000000,0.981115,0.896368,0.898870,1.000000,1.000000,1.000000,0.993608,0.993792,0.986167
Jiuzhai valley (UAV-0.5m),Hokkaido Iburi-Tobu,0,0.999977,0.995930,0.929557,0.956092,1.000000,1.000000,1.000000,0.998642,0.999234,0.999007
Jiuzhai valley (UAV-0.5m),Hokkaido Iburi-Tobu,1,1.000000,0.976559,0.887326,0.866674,1.000000,1.000000,1.000000,0.991832,0.992360,0.990535
Jiuzhai valley (UAV-0.5m),Hokkaido Iburi-Tobu,2,1.000000,0.997227,0.923168,0.955415,1.000000,1.000000,1.000000,0.999029,0.999239,0.998887
Jiuzhai valley (UAV-0.5m),Hokkaido Iburi-Tobu,3,1.000000,0.984727,0.932112,0.963942,1.000000,1.000000,1.000000,0.996335,0.995874,0.995099
Jiuzhai valley (UAV-0.5m),Hokkaido Iburi-Tobu,4,1.000000,0.997357,0.966535,0.988090,1.000000,1.000000,1.000000,0.991846,0.993425,0.999677
Lombok,Hokkaido Iburi-Tobu,0,1.000000,0.996776,0.918444,0.949759,1.000000,1.000000,1.000000,0.999357,0.998102,0.999974
Lombok,Hokkaido Iburi-Tobu,1,1.000000,0.998584,0.945638,0.982527,1.000000,1.000000,1.000000,0.999374,0.999726,0.999787
Lombok,Hokkaido Iburi-Tobu,2,1.000000,0.994524,0.964225,0.998040,1.000000,1.000000,1.000000,0.999535,0.999573,0.999263
Lombok,Hokkaido Iburi-Tobu,3,1.000000,0.996656,0.979433,0.964263,1.000000,1.000000,1.000000,0.998422,0.993887,0.997801
Lombok,Hokkaido Iburi-Tobu,4,0.999997,0.991640,0.956674,0.997353,1.000000,1.000000,1.000000,0.999516,0.999515,0.999109
Longxi River (SAT),Hokkaido Iburi-Tobu,0,1.000000,1.020975,0.953250,0.978585,1.000000,1.000000,1.000000,0.993395,0.996116,0.999973
Longxi River (SAT),Hokkaido Iburi-Tobu,1,1.000000,1.034081,0.970817,0.986870,1.000000,1.000000,1.000000,0.988116,0.992439,0.999907
Longxi River (SAT),Hokkaido Iburi-Tobu,2,1.000000,1.012776,0.952123,0.977105,1.000000,1.000000,1.000000,0.995405,0.996516,0.999979
Longxi River (SAT),Hokkaido Iburi-Tobu,3,1.000000,1.008905,0.958203,0.986341,1.000000,1.000000,1.000000,0.994354,0.997588,0.999981
Longxi River (SAT),Hokkaido Iburi-Tobu,4,1.000000,1.016718,0.945192,0.970913,1.000000,1.000000,1.000000,0.994413,0.997163,0.999978
Longxi River (UAV),Hokkaido Iburi-Tobu,0,1.000000,0.995778,0.956412,0.994091,1.000000,1.000000,1.000000,0.998298,0.998765,0.999977
Longxi River (UAV),Hokkaido Iburi-Tobu,1,1.000000,0.999354,0.978025,0.987866,1.000000,1.000000,1.000000,0.999715,0.999589,0.999996
Longxi River (UAV),Hokkaido Iburi-Tobu,2,1.000000,0.999524,0.967124,0.998383,1.000000,1.000000,1.000000,0.999649,0.999656,0.999911
Longxi River (UAV),Hokkaido Iburi-Tobu,3,1.000000,0.999311,0.967817,0.994628,1.000000,1.000000,1.000000,0.999314,0.999389,1.000000
Longxi River (UAV),Hokkaido Iburi-Tobu,4,1.000000,1.000518,0.971122,0.997488,1.000000,1.000000,1.000000,0.999662,0.999788,1.000000
Mengdong Township,Hokkaido Iburi-Tobu,0,1.000000,0.994163,0.958359,0.998699,1.000000,1.000000,1.000000,0.999402,0.999467,0.998227
Mengdong Township,Hokkaido Iburi-Tobu,1,1.000000,0.995436,0.960374,0.995234,1.000000,1.000000,1.000000,0.998715,0.999079,0.999044
