source_region,target_region,image_idx,wav_hf_ratio,fda_hf_ratio,wav_edge_sim,fda_edge_sim,wav_LH_corr,wav_HL_corr,wav_HH_corr,fda_LH_corr,fda_HL_corr,fda_HH_corr
Jiuzhai valley (UAV-0.2m),Hokkaido Iburi-Tobu,0,1.000000,1.479578,0.938978,0.816687,1.000000,1.000000,1.000000,0.852466,0.876898,0.902325
Jiuzhai valley (UAV-0.2m),Hokkaido Iburi-Tobu,1,1.000000,2.437785,0.964469,0.824577,1.000000,1.000000,1.000000,0.807400,0.817110,0.832846
Jiuzhai valley (UAV-0.2m),Hokkaido Iburi-Tobu,2,1.000000,0.967393,0.970072,0.861751,1.000000,1.000000,1.000000,0.859092,0.840870,0.900670
Jiuzhai valley (UAV-0.2m),Hokkaido Iburi-Tobu,3,1.000000,3.911805,0.878178,0.747613,1.000000,1.000000,1.000000,0.775431,0.778049,0.768336
Jiuzhai valley (UAV-0.2m),Hokkaido Iburi-Tobu,4,1.000000,2.900016,0.896368,0.745034,1.000000,1.000000,1.000000,0.785512,0.792174,0.778769
Jiuzhai valley (UAV-0.5m),Hokkaido Iburi-Tobu,0,0.999977,1.007328,0.929557,0.792349,1.000000,1.000000,1.000000,0.909675,0.920112,0.974945
Jiuzhai valley (UAV-0.5m),Hokkaido Iburi-Tobu,1,1.000000,1.832697,0.887326,0.746965,1.000000,1.000000,1.000000,0.830838,0.848623,0.886433
Jiuzhai valley (UAV-0.5m),Hokkaido Iburi-Tobu,2,1.000000,1.246199,0.923168,0.783943,1.000000,1.000000,1.000000,0.865023,0.878021,0.945854
Jiuzhai valley (UAV-0.5m),Hokkaido Iburi-Tobu,3,1.000000,1.225622,0.932112,0.818219,1.000000,1.000000,1.000000,0.877771,0.875675,0.940334
Jiuzhai valley (UAV-0.5m),Hokkaido Iburi-Tobu,4,1.000000,3.211334,0.966535,0.841105,1.000000,1.000000,1.000000,0.751449,0.786388,0.794977
Lombok,Hokkaido Iburi-Tobu,0,1.000000,2.292660,0.918444,0.828365,1.000000,1.000000,1.000000,0.868980,0.866007,0.902379
Lombok,Hokkaido Iburi-Tobu,1,1.000000,1.241750,0.945638,0.870430,1.000000,1.000000,1.000000,0.914826,0.925786,0.961118
Lombok,Hokkaido Iburi-Tobu,2,1.000000,1.020816,0.964225,0.879539,1.000000,1.000000,1.000000,0.919625,0.927727,0.972709
Lombok,Hokkaido Iburi-Tobu,3,1.000000,2.012672,0.979433,0.803239,1.000000,1.000000,1.000000,0.862201,0.837030,0.906749
Lombok,Hokkaido Iburi-Tobu,4,0.999997,0.924455,0.956674,0.879202,1.000000,1.000000,1.000000,0.947979,0.951893,0.983848
Longxi River (SAT),Hokkaido Iburi-Tobu,0,1.000000,23.805558,0.953250,0.702849,1.000000,1.000000,1.000000,0.421461,0.446264,0.288712
Longxi River (SAT),Hokkaido Iburi-Tobu,1,1.000000,33.866231,0.970817,0.679979,1.000000,1.000000,1.000000,0.397512,0.431384,0.293680
Longxi River (SAT),Hokkaido Iburi-Tobu,2,1.000000,19.161329,0.952123,0.693867,1.000000,1.000000,1.000000,0.400537,0.419868,0.301655
Longxi River (SAT),Hokkaido Iburi-Tobu,3,1.000000,21.348549,0.958203,0.675202,1.000000,1.000000,1.000000,0.396690,0.420818,0.287713
Longxi River (SAT),Hokkaido Iburi-Tobu,4,1.000000,15.699975,0.945192,0.686433,1.000000,1.000000,1.000000,0.416966,0.444997,0.293569
Longxi River (UAV),Hokkaido Iburi-Tobu,0,1.000000,1.450403,0.956412,0.856912,1.000000,1.000000,1.000000,0.888403,0.904671,0.970184
Longxi River (UAV),Hokkaido Iburi-Tobu,1,1.000000,2.100585,0.978025,0.800716,1.000000,1.000000,1.000000,0.854528,0.874328,0.944548
Longxi River (UAV),Hokkaido Iburi-Tobu,2,1.000000,1.990348,0.967124,0.842209,1.000000,1.000000,1.000000,0.863103,0.878207,0.950731
Longxi River (UAV),Hokkaido Iburi-Tobu,3,1.000000,1.920974,0.967817,0.844531,1.000000,1.000000,1.000000,0.873250,0.881705,0.955027
Longxi River (UAV),Hokkaido Iburi-Tobu,4,1.000000,2.080694,0.971122,0.827247,1.000000,1.000000,1.000000,0.862497,0.876486,0.947686
Mengdong Township,Hokkaido Iburi-Tobu,0,1.000000,0.787332,0.958359,0.762408,1.000000,1.000000,1.000000,0.804165,0.833384,0.824614
Mengdong Township,Hokkaido Iburi-Tobu,1,1.000000,0.976801,0.960374,0.749633,1.000000,1.000000,1.000000,0.755158,0.816917,0.791110
Mengdong Township,Hokkaido Iburi-Tobu,2,1.000000,0.720324,0.956356,0.712866,1.000000,1.000000,1.000000,0.756179,0.800448,0.785117
Mengdong Township,Hokkaido Iburi-Tobu,3,1.000000,0.952179,0.965553,0.786776,1.000000,1.000000,1.000000,0.791600,0.824445,0.787957
Mengdong Township,Hokkaido Iburi-Tobu,4,1.000000,1.319855,0.969751,0.790349,1.000000,1.000000,1.000000,0.741098,0.820259,0.757922
Moxi town (UAV-0.2m),Hokkaido Iburi-Tobu,0,0.999938,0.930554,0.962935,0.876818,1.000000,1.000000,0.999999,0.948409,0.934850,0.990222
Moxi town (UAV-0.2m),Hokkaido Iburi-Tobu,1,1.000000,0.992263,0.933656,0.859836,1.000000,1.000000,1.000000,0.959821,0.964222,0.992357
Moxi town (UAV-0.2m),Hokkaido Iburi-Tobu,2,1.000000,1.002572,0.970712,0.876698,1.000000,1.000000,1.000000,0.956534,0.955111,0.988739
Moxi town (UAV-0.2m),Hokkaido Iburi-Tobu,3,1.000000,1.054399,0.946760,0.871686,1.000000,1.000000,1.000000,0.953889,0.958074,0.991823
Moxi town (UAV-0.2m),Hokkaido Iburi-Tobu,4,1.000000,1.789920,0.929153,0.859310,1.000000,1.000000,1.000000,0.866276,0.898342,0.945139
Moxi town (UAV-1m),Hokkaido Iburi-Tobu,0,0.999891,1.048264,0.934010,0.862283,0.999999,0.999999,0.999998,0.947359,0.961389,0.989161
Moxi town (UAV-1m),Hokkaido Iburi-Tobu,1,0.994712,0.964325,0.974780,0.863307,0.999919,0.999933,0.999872,0.919862,0.900645,0.989104
Moxi town (UAV-1m),Hokkaido Iburi-Tobu,2,0.997086,1.120443,0.962537,0.836616,0.999955,0.999961,0.999940,0.926119,0.909346,0.985663
Moxi town (UAV-1m),Hokkaido Iburi-Tobu,3,0.998556,0.917967,0.955637,0.839855,0.999974,0.999978,0.999970,0.963616,0.946548,0.992896
Moxi town (UAV-1m),Hokkaido Iburi-Tobu,4,0.993698,1.046692,0.971321,0.838210,0.999868,0.999898,0.999842,0.929600,0.902435,0.988413
Moxitaidi (SAT),Hokkaido Iburi-Tobu,0,1.000000,1.085722,0.960107,0.856029,1.000000,1.000000,1.000000,0.895068,0.867112,0.950763
Moxitaidi (SAT),Hokkaido Iburi-Tobu,1,1.000000,0.786824,0.952974,0.817085,1.000000,1.000000,1.000000,0.905044,0.896748,0.972311
Moxitaidi (SAT),Hokkaido Iburi-Tobu,2,1.000000,1.824072,0.966257,0.874076,1.000000,1.000000,1.000000,0.858218,0.879619,0.925251
Moxitaidi (SAT),Hokkaido Iburi-Tobu,3,1.000000,0.963394,0.947266,0.842867,1.000000,1.000000,1.000000,0.898501,0.910470,0.957228
Moxitaidi (SAT),Hokkaido Iburi-Tobu,4,1.000000,1.562857,0.975077,0.859822,1.000000,1.000000,1.000000,0.855567,0.890402,0.935192
Moxitaidi (UAV-0.6m),Hokkaido Iburi-Tobu,0,1.000000,3.701469,0.920153,0.818458,1.000000,1.000000,1.000000,0.813275,0.837452,0.799984
Moxitaidi (UAV-0.6m),Hokkaido Iburi-Tobu,1,1.000000,1.970070,0.956505,0.830753,1.000000,1.000000,1.000000,0.851904,0.854038,0.882758
Moxitaidi (UAV-0.6m),Hokkaido Iburi-Tobu,2,0.979465,1.738598,0.953887,0.830186,0.999602,0.999606,0.999069,0.845097,0.870885,0.926272
Moxitaidi (UAV-0.6m),Hokkaido Iburi-Tobu,3,0.923931,2.033851,0.957416,0.730660,0.998662,0.998929,0.998591,0.737169,0.754020,0.881646
Moxitaidi (UAV-0.6m),Hokkaido Iburi-Tobu,4,1.000000,2.919021,0.960156,0.820505,1.000000,1.000000,1.000000,0.819967,0.840486,0.833202
Moxitaidi (UAV-1m),Hokkaido Iburi-Tobu,0,0.956975,1.095952,0.977152,0.826918,0.999295,0.999341,0.998941,0.834561,0.839163,0.954371
Moxitaidi (UAV-1m),Hokkaido Iburi-Tobu,1,0.951862,1.346697,0.970906,0.776172,0.999042,0.999340,0.998649,0.808311,0.791437,0.935834
Moxitaidi (UAV-1m),Hokkaido Iburi-Tobu,2,1.000000,1.827457,0.959361,0.858428,1.000000,1.000000,1.000000,0.872535,0.887993,0.908398
Moxitaidi (UAV-1m),Hokkaido Iburi-Tobu,3,1.000000,0.870592,0.970507,0.880128,1.000000,1.000000,1.000000,0.898921,0.910121,0.968499
Moxitaidi (UAV-1m),Hokkaido Iburi-Tobu,4,1.000000,1.325499,0.949827,0.818578,1.000000,1.000000,1.000000,0.879734,0.878613,0.947198
palu,Hokkaido Iburi-Tobu,0,0.999983,1.163970,0.958053,0.870151,1.000000,1.000000,1.000000,0.906000,0.937339,0.968137
palu,Hokkaido Iburi-Tobu,1,1.000000,1.594323,0.965437,0.827690,1.000000,1.000000,1.000000,0.854919,0.886047,0.940031
palu,Hokkaido Iburi-Tobu,2,1.000000,0.979404,0.926384,0.818494,1.000000,1.000000,1.000000,0.935103,0.927215,0.966122
palu,Hokkaido Iburi-Tobu,3,1.000000,0.954773,0.931408,0.815776,1.000000,1.000000,1.000000,0.934780,0.926789,0.965492
palu,Hokkaido Iburi-Tobu,4,1.000000,1.033106,0.941679,0.862590,1.000000,1.000000,1.000000,0.932845,0.931049,0.966666
Tiburon Peninsula (planet),Hokkaido Iburi-Tobu,0,1.000000,2.629646,0.942713,0.785725,1.000000,1.000000,1.000000,0.696181,0.708531,0.734146
Tiburon Peninsula (planet),Hokkaido Iburi-Tobu,1,1.000000,3.303989,0.974969,0.729854,1.000000,1.000000,1.000000,0.565281,0.681686,0.698598
Tiburon Peninsula (planet),Hokkaido Iburi-Tobu,2,1.000000,2.881332,0.961237,0.753966,1.000000,1.000000,1.000000,0.584582,0.632833,0.670664
Tiburon Peninsula (planet),Hokkaido Iburi-Tobu,3,1.000000,1.865072,0.946827,0.708862,1.000000,1.000000,1.000000,0.665329,0.658776,0.741879
Tiburon Peninsula (planet),Hokkaido Iburi-Tobu,4,1.000000,3.417700,0.951254,0.747195,1.000000,1.000000,1.000000,0.630352,0.632703,0.681060
Tiburon Peninsula (Sentinel),Hokkaido Iburi-Tobu,0,1.000000,1.121213,0.949084,0.855235,1.000000,1.000000,1.000000,0.881149,0.938108,0.953330
Tiburon Peninsula (Sentinel),Hokkaido Iburi-Tobu,1,1.000000,0.877357,0.965069,0.853255,1.000000,1.000000,1.000000,0.869927,0.910317,0.958662
Tiburon Peninsula (Sentinel),Hokkaido Iburi-Tobu,2,1.000000,1.023951,0.962056,0.847178,1.000000,1.000000,1.000000,0.859089,0.909849,0.943157
Tiburon Peninsula (Sentinel),Hokkaido Iburi-Tobu,3,1.000000,1.240687,0.952146,0.864618,1.000000,1.000000,1.000000,0.876275,0.930298,0.948285
Tiburon Peninsula (Sentinel),Hokkaido Iburi-Tobu,4,1.000000,1.276818,0.950253,0.833150,1.000000,1.000000,1.000000,0.851403,0.908017,0.922527
Wenchuan,Hokkaido Iburi-Tobu,0,1.000000,2.938795,0.939798,0.737473,1.000000,1.000000,1.000000,0.656559,0.694944,0.525129
Wenchuan,Hokkaido Iburi-Tobu,1,1.000000,8.322526,0.843847,0.611246,1.000000,1.000000,1.000000,0.515704,0.552080,0.335042
Wenchuan,Hokkaido Iburi-Tobu,2,1.000000,7.546095,0.894834,0.708322,1.000000,1.000000,1.000000,0.586369,0.609654,0.383069
Wenchuan,Hokkaido Iburi-Tobu,3,1.000000,3.682567,0.895615,0.691763,1.000000,1.000000,1.000000,0.690265,0.706025,0.539903
Wenchuan,Hokkaido Iburi-Tobu,4,1.000000,2.331300,0.936084,0.789407,1.000000,1.000000,1.000000,0.755313,0.737713,0.593003
Hokkaido Iburi-Tobu,Jiuzhai valley (UAV-0.2m),0,0.999793,0.613806,0.952875,0.700576,0.999998,0.999997,0.999994,0.864362,0.856688,0.925492
Hokkaido Iburi-Tobu,Jiuzhai valley (UAV-0.2m),1,0.998020,0.511624,0.985225,0.802714,0.999973,0.999951,0.999890,0.794464,0.774863,0.828785
Hokkaido Iburi-Tobu,Jiuzhai valley (UAV-0.2m),2,0.996421,0.426382,0.967882,0.702329,0.999954,0.999940,0.999817,0.782219,0.792421,0.862711
Hokkaido Iburi-Tobu,Jiuzhai valley (UAV-0.2m),3,0.999771,0.612043,0.954912,0.738353,0.999998,0.999996,0.999993,0.873104,0.856687,0.930141
Hokkaido Iburi-Tobu,Jiuzhai valley (UAV-0.2m),4,0.999653,0.627099,0.955967,0.748763,0.999996,0.999994,0.999986,0.881171,0.874153,0.933389
