source_region,target_region,image_idx,wav_hf_ratio,fda_hf_ratio,wav_edge_sim,fda_edge_sim,wav_LH_corr,wav_HL_corr,wav_HH_corr,fda_LH_corr,fda_HL_corr,fda_HH_corr
Jiuzhai valley (UAV-0.2m),Hokkaido Iburi-Tobu,0,1.000000,1.012882,0.938978,0.859556,1.000000,1.000000,1.000000,0.923031,0.938281,0.982455
Jiuzhai valley (UAV-0.2m),Hokkaido Iburi-Tobu,1,1.000000,1.314919,0.964469,0.886026,1.000000,1.000000,1.000000,0.877050,0.895462,0.961290
Jiuzhai valley (UAV-0.2m),Hokkaido Iburi-Tobu,2,1.000000,0.826341,0.970072,0.916818,1.000000,1.000000,1.000000,0.929119,0.915557,0.981403
Jiuzhai valley (UAV-0.2m),Hokkaido Iburi-Tobu,3,1.000000,1.730504,0.878178,0.767985,1.000000,1.000000,1.000000,0.838178,0.850709,0.906162
Jiuzhai valley (UAV-0.2m),Hokkaido Iburi-Tobu,4,1.000000,1.390821,0.896368,0.783644,1.000000,1.000000,1.000000,0.865159,0.875850,0.923330
Jiuzhai valley (UAV-0.5m),Hokkaido Iburi-Tobu,0,0.999977,0.969543,0.929557,0.864739,1.000000,1.000000,1.000000,0.959983,0.963325,0.995059
Jiuzhai valley (UAV-0.5m),Hokkaido Iburi-Tobu,1,1.000000,1.167729,0.887326,0.776937,1.000000,1.000000,1.000000,0.908096,0.921438,0.975424
Jiuzhai valley (UAV-0.5m),Hokkaido Iburi-Tobu,2,1.000000,0.983346,0.923168,0.841849,1.000000,1.000000,1.000000,0.933914,0.933119,0.990398
Jiuzhai valley (UAV-0.5m),Hokkaido Iburi-Tobu,3,1.000000,0.977848,0.932112,0.873398,1.000000,1.000000,1.000000,0.941683,0.933736,0.988415
Jiuzhai valley (UAV-0.5m),Hokkaido Iburi-Tobu,4,1.000000,1.646507,0.966535,0.901633,1.000000,1.000000,1.000000,0.825002,0.864556,0.957963
Lombok,Hokkaido Iburi-Tobu,0,1.000000,1.405972,0.918444,0.862860,1.000000,1.000000,1.000000,0.919840,0.910967,0.977816
Lombok,Hokkaido Iburi-Tobu,1,1.000000,1.069164,0.945638,0.923421,1.000000,1.000000,1.000000,0.960842,0.969240,0.993774
Lombok,Hokkaido Iburi-Tobu,2,1.000000,0.984477,0.964225,0.938479,1.000000,1.000000,1.000000,0.966134,0.968723,0.995530
Lombok,Hokkaido Iburi-Tobu,3,1.000000,1.346733,0.979433,0.863310,1.000000,1.000000,1.000000,0.906208,0.898789,0.977265
Lombok,Hokkaido Iburi-Tobu,4,0.999997,0.969825,0.956674,0.942788,1.000000,1.000000,1.000000,0.980316,0.981977,0.997321
Longxi River (SAT),Hokkaido Iburi-Tobu,0,1.000000,9.089368,0.953250,0.794251,1.000000,1.000000,1.000000,0.556575,0.582540,0.429160
Longxi River (SAT),Hokkaido Iburi-Tobu,1,1.000000,12.182247,0.970817,0.786898,1.000000,1.000000,1.000000,0.515893,0.572611,0.397917
Longxi River (SAT),Hokkaido Iburi-Tobu,2,1.000000,7.147273,0.952123,0.785897,1.000000,1.000000,1.000000,0.530779,0.562038,0.444799
Longxi River (SAT),Hokkaido Iburi-Tobu,3,1.000000,7.844547,0.958203,0.775432,1.000000,1.000000,1.000000,0.532172,0.567266,0.421776
Longxi River (SAT),Hokkaido Iburi-Tobu,4,1.000000,5.893698,0.945192,0.783434,1.000000,1.000000,1.000000,0.556315,0.589188,0.459370
Longxi River (UAV),Hokkaido Iburi-Tobu,0,1.000000,1.104926,0.956412,0.911215,1.000000,1.000000,1.000000,0.943678,0.952965,0.995730
Longxi River (UAV),Hokkaido Iburi-Tobu,1,1.000000,1.340256,0.978025,0.875501,1.000000,1.000000,1.000000,0.915433,0.931063,0.991701
Longxi River (UAV),Hokkaido Iburi-Tobu,2,1.000000,1.317115,0.967124,0.898437,1.000000,1.000000,1.000000,0.919641,0.931686,0.991955
Longxi River (UAV),Hokkaido Iburi-Tobu,3,1.000000,1.296503,0.967817,0.894099,1.000000,1.000000,1.000000,0.925072,0.932243,0.992715
Longxi River (UAV),Hokkaido Iburi-Tobu,4,1.000000,1.350861,0.971122,0.887080,1.000000,1.000000,1.000000,0.916568,0.930943,0.992379
Mengdong Township,Hokkaido Iburi-Tobu,0,1.000000,0.797907,0.958359,0.891908,1.000000,1.000000,1.000000,0.911384,0.933969,0.967792
Mengdong Township,Hokkaido Iburi-Tobu,1,1.000000,0.832499,0.960374,0.883092,1.000000,1.000000,1.000000,0.885420,0.925245,0.961386
Mengdong Township,Hokkaido Iburi-Tobu,2,1.000000,0.768290,0.956356,0.870398,1.000000,1.000000,1.000000,0.885885,0.923240,0.960510
Mengdong Township,Hokkaido Iburi-Tobu,3,1.000000,0.940735,0.965553,0.929838,1.000000,1.000000,1.000000,0.912591,0.954954,0.970756
Mengdong Township,Hokkaido Iburi-Tobu,4,1.000000,0.953661,0.969751,0.905924,1.000000,1.000000,1.000000,0.871405,0.934265,0.957306
Moxi town (UAV-0.2m),Hokkaido Iburi-Tobu,0,0.999938,0.948246,0.962935,0.927145,1.000000,1.000000,0.999999,0.977655,0.964367,0.998387
Moxi town (UAV-0.2m),Hokkaido Iburi-Tobu,1,1.000000,0.995909,0.933656,0.928662,1.000000,1.000000,1.000000,0.984489,0.986928,0.998417
Moxi town (UAV-0.2m),Hokkaido Iburi-Tobu,2,1.000000,0.996165,0.970712,0.923260,1.000000,1.000000,1.000000,0.982541,0.981449,0.996451
