source_region,target_region,image_idx,wav_hf_ratio,fda_hf_ratio,wav_edge_sim,fda_edge_sim,wav_LH_corr,wav_HL_corr,wav_HH_corr,fda_LH_corr,fda_HL_corr,fda_HH_corr
Jiuzhai valley (UAV-0.2m),Hokkaido Iburi-Tobu,0,1.000000,1.205599,0.938978,0.832786,1.000000,1.000000,1.000000,0.883170,0.906339,0.948224
Jiuzhai valley (UAV-0.2m),Hokkaido Iburi-Tobu,1,1.000000,1.804797,0.964469,0.850012,1.000000,1.000000,1.000000,0.834808,0.850024,0.894075
Jiuzhai valley (UAV-0.2m),Hokkaido Iburi-Tobu,2,1.000000,0.849240,0.970072,0.886665,1.000000,1.000000,1.000000,0.892943,0.877311,0.950008
Jiuzhai valley (UAV-0.2m),Hokkaido Iburi-Tobu,3,1.000000,2.710081,0.878178,0.755497,1.000000,1.000000,1.000000,0.795156,0.801615,0.812811
Jiuzhai valley (UAV-0.2m),Hokkaido Iburi-Tobu,4,1.000000,2.059807,0.896368,0.760952,1.000000,1.000000,1.000000,0.815076,0.824576,0.832550
Jiuzhai valley (UAV-0.5m),Hokkaido Iburi-Tobu,0,0.999977,0.979975,0.929557,0.823425,1.000000,1.000000,1.000000,0.934841,0.941810,0.987634
Jiuzhai valley (UAV-0.5m),Hokkaido Iburi-Tobu,1,1.000000,1.454876,0.887326,0.755314,1.000000,1.000000,1.000000,0.862201,0.880116,0.938943
Jiuzhai valley (UAV-0.5m),Hokkaido Iburi-Tobu,2,1.000000,1.087609,0.923168,0.806865,1.000000,1.000000,1.000000,0.897386,0.904540,0.974315
Jiuzhai valley (UAV-0.5m),Hokkaido Iburi-Tobu,3,1.000000,1.074556,0.932112,0.841275,1.000000,1.000000,1.000000,0.908118,0.903982,0.971131
Jiuzhai valley (UAV-0.5m),Hokkaido Iburi-Tobu,4,1.000000,2.341481,0.966535,0.864985,1.000000,1.000000,1.000000,0.775927,0.815122,0.881727
Lombok,Hokkaido Iburi-Tobu,0,1.000000,1.800644,0.918444,0.838636,1.000000,1.000000,1.000000,0.886860,0.880585,0.940885
Lombok,Hokkaido Iburi-Tobu,1,1.000000,1.146848,0.945638,0.893223,1.000000,1.000000,1.000000,0.936894,0.947485,0.981380
Lombok,Hokkaido Iburi-Tobu,2,1.000000,0.997075,0.964225,0.905798,1.000000,1.000000,1.000000,0.942741,0.948284,0.987307
Lombok,Hokkaido Iburi-Tobu,3,1.000000,1.650320,0.979433,0.826847,1.000000,1.000000,1.000000,0.875081,0.864934,0.945966
Lombok,Hokkaido Iburi-Tobu,4,0.999997,0.952316,0.956674,0.909747,1.000000,1.000000,1.000000,0.965606,0.968515,0.992992
Longxi River (SAT),Hokkaido Iburi-Tobu,0,1.000000,15.760734,0.953250,0.730600,1.000000,1.000000,1.000000,0.481650,0.505870,0.319244
Longxi River (SAT),Hokkaido Iburi-Tobu,1,1.000000,22.021623,0.970817,0.711686,1.000000,1.000000,1.000000,0.445778,0.488506,0.302653
Longxi River (SAT),Hokkaido Iburi-Tobu,2,1.000000,12.710282,0.952123,0.719230,1.000000,1.000000,1.000000,0.453981,0.477623,0.328026
Longxi River (SAT),Hokkaido Iburi-Tobu,3,1.000000,14.054951,0.958203,0.703623,1.000000,1.000000,1.000000,0.451552,0.480150,0.307279
Longxi River (SAT),Hokkaido Iburi-Tobu,4,1.000000,10.438799,0.945192,0.714617,1.000000,1.000000,1.000000,0.476499,0.506297,0.334664
Longxi River (UAV),Hokkaido Iburi-Tobu,0,1.000000,1.258331,0.956412,0.878638,1.000000,1.000000,1.000000,0.912655,0.927172,0.986352
Longxi River (UAV),Hokkaido Iburi-Tobu,1,1.000000,1.682264,0.978025,0.829415,1.000000,1.000000,1.000000,0.877279,0.896897,0.973294
Longxi River (UAV),Hokkaido Iburi-Tobu,2,1.000000,1.621558,0.967124,0.863045,1.000000,1.000000,1.000000,0.884665,0.898723,0.975902
Longxi River (UAV),Hokkaido Iburi-Tobu,3,1.000000,1.582514,0.967817,0.862177,1.000000,1.000000,1.000000,0.893529,0.901787,0.978069
Longxi River (UAV),Hokkaido Iburi-Tobu,4,1.000000,1.675394,0.971122,0.850822,1.000000,1.000000,1.000000,0.884424,0.897885,0.975352
Mengdong Township,Hokkaido Iburi-Tobu,0,1.000000,0.740953,0.958359,0.819569,1.000000,1.000000,1.000000,0.851664,0.880476,0.911352
Mengdong Township,Hokkaido Iburi-Tobu,1,1.000000,0.843197,0.960374,0.806355,1.000000,1.000000,1.000000,0.809572,0.868811,0.890371
Mengdong Township,Hokkaido Iburi-Tobu,2,1.000000,0.691221,0.956356,0.783923,1.000000,1.000000,1.000000,0.816777,0.859753,0.893807
Mengdong Township,Hokkaido Iburi-Tobu,3,1.000000,0.884297,0.965553,0.853232,1.000000,1.000000,1.000000,0.842210,0.890908,0.895620
Mengdong Township,Hokkaido Iburi-Tobu,4,1.000000,1.069028,0.969751,0.842056,1.000000,1.000000,1.000000,0.796027,0.878195,0.868550
Moxi town (UAV-0.2m),Hokkaido Iburi-Tobu,0,0.999938,0.943071,0.962935,0.901034,1.000000,1.000000,0.999999,0.964473,0.950375,0.995643
Moxi town (UAV-0.2m),Hokkaido Iburi-Tobu,1,1.000000,0.998974,0.933656,0.893405,1.000000,1.000000,1.000000,0.973058,0.976843,0.996483
Moxi town (UAV-0.2m),Hokkaido Iburi-Tobu,2,1.000000,1.002539,0.970712,0.898153,1.000000,1.000000,1.000000,0.970403,0.969433,0.993911
Moxi town (UAV-0.2m),Hokkaido Iburi-Tobu,3,1.000000,1.038507,0.946760,0.896613,1.000000,1.000000,1.000000,0.968428,0.971208,0.996374
Moxi town (UAV-0.2m),Hokkaido Iburi-Tobu,4,1.000000,1.484870,0.929153,0.872997,1.000000,1.000000,1.000000,0.888764,0.920997,0.972927
Moxi town (UAV-1m),Hokkaido Iburi-Tobu,0,0.999891,1.033338,0.934010,0.882670,0.999999,0.999999,0.999998,0.962696,0.973748,0.993426
Moxi town (UAV-1m),Hokkaido Iburi-Tobu,1,0.994712,0.957498,0.974780,0.884076,0.999919,0.999933,0.999872,0.940680,0.924421,0.994884
Moxi town (UAV-1m),Hokkaido Iburi-Tobu,2,0.997086,1.070709,0.962537,0.860515,0.999955,0.999961,0.999940,0.946219,0.931135,0.992836
Moxi town (UAV-1m),Hokkaido Iburi-Tobu,3,0.998556,0.947806,0.955637,0.870314,0.999974,0.999978,0.999970,0.976156,0.961077,0.997038
Moxi town (UAV-1m),Hokkaido Iburi-Tobu,4,0.993698,1.018109,0.971321,0.862577,0.999868,0.999898,0.999842,0.949314,0.925278,0.994375
Moxitaidi (SAT),Hokkaido Iburi-Tobu,0,1.000000,0.989420,0.960107,0.880270,1.000000,1.000000,1.000000,0.922913,0.895162,0.976920
Moxitaidi (SAT),Hokkaido Iburi-Tobu,1,1.000000,0.793802,0.952974,0.842342,1.000000,1.000000,1.000000,0.926328,0.916631,0.985109
Moxitaidi (SAT),Hokkaido Iburi-Tobu,2,1.000000,1.479091,0.966257,0.893520,1.000000,1.000000,1.000000,0.884592,0.905212,0.962628
Moxitaidi (SAT),Hokkaido Iburi-Tobu,3,1.000000,0.914277,0.947266,0.867395,1.000000,1.000000,1.000000,0.924673,0.932949,0.979661
Moxitaidi (SAT),Hokkaido Iburi-Tobu,4,1.000000,1.309099,0.975077,0.882663,1.000000,1.000000,1.000000,0.883832,0.914721,0.966114
Moxitaidi (UAV-0.6m),Hokkaido Iburi-Tobu,0,1.000000,2.626072,0.920153,0.842613,1.000000,1.000000,1.000000,0.838560,0.867484,0.873182
Moxitaidi (UAV-0.6m),Hokkaido Iburi-Tobu,1,1.000000,1.507349,0.956505,0.861730,1.000000,1.000000,1.000000,0.880139,0.885445,0.936793
Moxitaidi (UAV-0.6m),Hokkaido Iburi-Tobu,2,0.979465,1.424383,0.953887,0.852211,0.999602,0.999606,0.999069,0.873299,0.899484,0.963835
Moxitaidi (UAV-0.6m),Hokkaido Iburi-Tobu,3,0.923931,1.593684,0.957416,0.755015,0.998662,0.998929,0.998591,0.770179,0.795086,0.940758
Moxitaidi (UAV-0.6m),Hokkaido Iburi-Tobu,4,1.000000,2.106770,0.960156,0.852317,1.000000,1.000000,1.000000,0.843608,0.867338,0.891415
Moxitaidi (UAV-1m),Hokkaido Iburi-Tobu,0,0.956975,0.998961,0.977152,0.856789,0.999295,0.999341,0.998941,0.870580,0.872546,0.978069
Moxitaidi (UAV-1m),Hokkaido Iburi-Tobu,1,0.951862,1.165964,0.970906,0.808145,0.999042,0.999340,0.998649,0.841933,0.833276,0.968520
Moxitaidi (UAV-1m),Hokkaido Iburi-Tobu,2,1.000000,1.470554,0.959361,0.882186,1.000000,1.000000,1.000000,0.895478,0.913162,0.951799
Moxitaidi (UAV-1m),Hokkaido Iburi-Tobu,3,1.000000,0.853594,0.970507,0.902270,1.000000,1.000000,1.000000,0.926032,0.929686,0.984597
Moxitaidi (UAV-1m),Hokkaido Iburi-Tobu,4,1.000000,1.153075,0.949827,0.844962,1.000000,1.000000,1.000000,0.906630,0.905308,0.974955
palu,Hokkaido Iburi-Tobu,0,0.999983,1.090670,0.958053,0.894167,1.000000,1.000000,1.000000,0.930772,0.955920,0.985820
palu,Hokkaido Iburi-Tobu,1,1.000000,1.365851,0.965437,0.852164,1.000000,1.000000,1.000000,0.879119,0.909793,0.969359
palu,Hokkaido Iburi-Tobu,2,1.000000,0.979450,0.926384,0.851294,1.000000,1.000000,1.000000,0.956414,0.950141,0.984113
palu,Hokkaido Iburi-Tobu,3,1.000000,0.962898,0.931408,0.848332,1.000000,1.000000,1.000000,0.955620,0.949406,0.982865
palu,Hokkaido Iburi-Tobu,4,1.000000,1.005843,0.941679,0.888493,1.000000,1.000000,1.000000,0.953640,0.951865,0.984050
Tiburon Peninsula (planet),Hokkaido Iburi-Tobu,0,1.000000,1.811693,0.942713,0.814324,1.000000,1.000000,1.000000,0.750784,0.759667,0.812143
