source_region,target_region,image_idx,wav_hf_ratio,fda_hf_ratio,wav_edge_sim,fda_edge_sim,wav_LH_corr,wav_HL_corr,wav_HH_corr,fda_LH_corr,fda_HL_corr,fda_HH_corr
Jiuzhai valley (UAV-0.2m),Hokkaido Iburi-Tobu,0,1.000000,0.931349,0.938978,0.893246,1.000000,1.000000,1.000000,0.961514,0.964610,0.995033
Jiuzhai valley (UAV-0.2m),Hokkaido Iburi-Tobu,1,1.000000,1.036218,0.964469,0.923410,1.000000,1.000000,1.000000,0.928859,0.940145,0.992464
Jiuzhai valley (UAV-0.2m),Hokkaido Iburi-Tobu,2,1.000000,0.879778,0.970072,0.947030,1.000000,1.000000,1.000000,0.960637,0.950961,0.995157
Jiuzhai valley (UAV-0.2m),Hokkaido Iburi-Tobu,3,1.000000,1.127418,0.878178,0.789275,1.000000,1.000000,1.000000,0.907813,0.917085,0.979718
Jiuzhai valley (UAV-0.2m),Hokkaido Iburi-Tobu,4,1.000000,1.012398,0.896368,0.813414,1.000000,1.000000,1.000000,0.927867,0.930781,0.975670
Jiuzhai valley (UAV-0.5m),Hokkaido Iburi-Tobu,0,0.999977,0.976932,0.929557,0.907100,1.000000,1.000000,1.000000,0.980050,0.981788,0.998034
Jiuzhai valley (UAV-0.5m),Hokkaido Iburi-Tobu,1,1.000000,1.011848,0.887326,0.811682,1.000000,1.000000,1.000000,0.952922,0.957971,0.988573
Jiuzhai valley (UAV-0.5m),Hokkaido Iburi-Tobu,2,1.000000,0.951488,0.923168,0.885312,1.000000,1.000000,1.000000,0.965749,0.959903,0.996593
Jiuzhai valley (UAV-0.5m),Hokkaido Iburi-Tobu,3,1.000000,0.941344,0.932112,0.908148,1.000000,1.000000,1.000000,0.969168,0.959568,0.994863
Jiuzhai valley (UAV-0.5m),Hokkaido Iburi-Tobu,4,1.000000,1.204680,0.966535,0.942669,1.000000,1.000000,1.000000,0.898606,0.923277,0.992584
Lombok,Hokkaido Iburi-Tobu,0,1.000000,1.135967,0.918444,0.899495,1.000000,1.000000,1.000000,0.959735,0.953059,0.995674
Lombok,Hokkaido Iburi-Tobu,1,1.000000,1.016565,0.945638,0.953825,1.000000,1.000000,1.000000,0.981878,0.985852,0.998612
Lombok,Hokkaido Iburi-Tobu,2,1.000000,0.986088,0.964225,0.970054,1.000000,1.000000,1.000000,0.984595,0.986079,0.998615
Lombok,Hokkaido Iburi-Tobu,3,1.000000,1.141928,0.979433,0.905543,1.000000,1.000000,1.000000,0.946467,0.934329,0.992056
Lombok,Hokkaido Iburi-Tobu,4,0.999997,0.980952,0.956674,0.971155,1.000000,1.000000,1.000000,0.991224,0.991203,0.998839
Longxi River (SAT),Hokkaido Iburi-Tobu,0,1.000000,4.009137,0.953250,0.904705,1.000000,1.000000,1.000000,0.730837,0.749649,0.725988
Longxi River (SAT),Hokkaido Iburi-Tobu,1,1.000000,5.205934,0.970817,0.904226,1.000000,1.000000,1.000000,0.705946,0.740502,0.692315
Longxi River (SAT),Hokkaido Iburi-Tobu,2,1.000000,3.096187,0.952123,0.894302,1.000000,1.000000,1.000000,0.707759,0.728268,0.738733
Longxi River (SAT),Hokkaido Iburi-Tobu,3,1.000000,3.398987,0.958203,0.894689,1.000000,1.000000,1.000000,0.714749,0.736928,0.721173
