source_region,target_region,precision,recall,f1,iou,miou,oa
Jiuzhai valley (UAV-0.2m),Hokkaido Iburi-Tobu,0.6512,0.4220,0.5121,0.3442,0.6332,0.9253
Jiuzhai valley (UAV-0.5m),Hokkaido Iburi-Tobu,0.5624,0.5860,0.5740,0.4025,0.6585,0.9191
Lombok,Hokkaido Iburi-Tobu,0.2096,0.8995,0.3400,0.2048,0.4253,0.6754
Longxi River (SAT),Hokkaido Iburi-Tobu,0.7315,0.4780,0.5782,0.4067,0.6694,0.9352
Longxi River (UAV),Hokkaido Iburi-Tobu,0.3006,0.6336,0.4077,0.2560,0.5371,0.8289
Mengdong Township,Hokkaido Iburi-Tobu,0.6018,0.2544,0.3576,0.2177,0.5654,0.9151
Moxi town (UAV-0.2m),Hokkaido Iburi-Tobu,0.6901,0.1019,0.1776,0.0974,0.5044,0.9123
Moxi town (UAV-1m),Hokkaido Iburi-Tobu,0.7020,0.3371,0.4555,0.2949,0.6088,0.9251
Moxitaidi (SAT),Hokkaido Iburi-Tobu,0.6504,0.4039,0.4984,0.3319,0.6267,0.9244
Moxitaidi (UAV-0.6m),Hokkaido Iburi-Tobu,0.7195,0.0828,0.1486,0.0802,0.4957,0.9117
Moxitaidi (UAV-1m),Hokkaido Iburi-Tobu,0.7863,0.1470,0.2477,0.1413,0.5286,0.9170
palu,Hokkaido Iburi-Tobu,0.4129,0.6079,0.4918,0.3261,0.6011,0.8832
Tiburon Peninsula (planet),Hokkaido Iburi-Tobu,0.6038,0.5838,0.5936,0.4221,0.6718,0.9257
Tiburon Peninsula (Sentinel),Hokkaido Iburi-Tobu,0.5632,0.1783,0.2708,0.1566,0.5329,0.9108
Wenchuan,Hokkaido Iburi-Tobu,0.5256,0.4762,0.4997,0.3331,0.6202,0.9114
Hokkaido Iburi-Tobu,Jiuzhai valley (UAV-0.2m),0.5899,0.6794,0.6315,0.4614,0.6147,0.8065
Jiuzhai valley (UAV-0.5m),Jiuzhai valley (UAV-0.2m),0.6951,0.7526,0.7227,0.5658,0.6966,0.8591
Lombok,Jiuzhai valley (UAV-0.2m),0.7541,0.4963,0.5986,0.4271,0.6212,0.8376
Longxi River (SAT),Jiuzhai valley (UAV-0.2m),0.4960,0.6121,0.5480,0.3774,0.5438,0.7536
Longxi River (UAV),Jiuzhai valley (UAV-0.2m),0.6542,0.5659,0.6068,0.4356,0.6140,0.8211
Mengdong Township,Jiuzhai valley (UAV-0.2m),0.8079,0.5629,0.6635,0.4964,0.6674,0.8607
Moxi town (UAV-0.2m),Jiuzhai valley (UAV-0.2m),0.6994,0.6092,0.6512,0.4828,0.6479,0.8407
Moxi town (UAV-1m),Jiuzhai valley (UAV-0.2m),0.7169,0.6205,0.6652,0.4984,0.6594,0.8476
Moxitaidi (SAT),Jiuzhai valley (UAV-0.2m),0.7660,0.4782,0.5888,0.4172,0.6163,0.8370
Moxitaidi (UAV-0.6m),Jiuzhai valley (UAV-0.2m),0.6637,0.5871,0.6230,0.4525,0.6251,0.8266
Moxitaidi (UAV-1m),Jiuzhai valley (UAV-0.2m),0.8077,0.4532,0.5807,0.4091,0.6147,0.8403
palu,Jiuzhai valley (UAV-0.2m),0.8513,0.2839,0.4258,0.2705,0.5349,0.8131
Tiburon Peninsula (planet),Jiuzhai valley (UAV-0.2m),0.8047,0.4691,0.5927,0.4211,0.6217,0.8427
Tiburon Peninsula (Sentinel),Jiuzhai valley (UAV-0.2m),0.7508,0.5579,0.6401,0.4707,0.6468,0.8469
Wenchuan,Jiuzhai valley (UAV-0.2m),0.6343,0.5647,0.5974,0.4260,0.6053,0.8143
Hokkaido Iburi-Tobu,Jiuzhai valley (UAV-0.5m),0.3776,0.8115,0.5154,0.3471,0.5771,0.8250
Jiuzhai valley (UAV-0.2m),Jiuzhai valley (UAV-0.5m),0.5018,0.7205,0.5916,0.4200,0.6478,0.8859
Lombok,Jiuzhai valley (UAV-0.5m),0.5375,0.7117,0.6124,0.4414,0.6645,0.8967
Longxi River (SAT),Jiuzhai valley (UAV-0.5m),0.5369,0.3788,0.4442,0.2855,0.5860,0.8913
Longxi River (UAV),Jiuzhai valley (UAV-0.5m),0.4986,0.4081,0.4488,0.2894,0.5844,0.8851
Mengdong Township,Jiuzhai valley (UAV-0.5m),0.6797,0.6068,0.6412,0.4719,0.6941,0.9221
Moxi town (UAV-0.2m),Jiuzhai valley (UAV-0.5m),0.5970,0.6218,0.6091,0.4380,0.6697,0.9085
Moxi town (UAV-1m),Jiuzhai valley (UAV-0.5m),0.6381,0.7188,0.6760,0.5106,0.7123,0.9210
Moxitaidi (SAT),Jiuzhai valley (UAV-0.5m),0.6612,0.5586,0.6056,0.4343,0.6726,0.9166
Moxitaidi (UAV-0.6m),Jiuzhai valley (UAV-0.5m),0.6896,0.3274,0.4440,0.2854,0.5938,0.9060
Moxitaidi (UAV-1m),Jiuzhai valley (UAV-0.5m),0.6978,0.2151,0.3289,0.1968,0.5468,0.8993
palu,Jiuzhai valley (UAV-0.5m),0.5048,0.5399,0.5218,0.3530,0.6160,0.8865
Tiburon Peninsula (planet),Jiuzhai valley (UAV-0.5m),0.7564,0.5238,0.6190,0.4482,0.6848,0.9260
Tiburon Peninsula (Sentinel),Jiuzhai valley (UAV-0.5m),0.7628,0.4915,0.5978,0.4263,0.6730,0.9242
Wenchuan,Jiuzhai valley (UAV-0.5m),0.4925,0.6147,0.5469,0.3764,0.6253,0.8832
Hokkaido Iburi-Tobu,Lombok,0.0867,0.5794,0.1508,0.0816,0.4396,0.8013
Jiuzhai valley (UAV-0.2m),Lombok,0.0698,0.4152,0.1195,0.0636,0.4374,0.8136
Jiuzhai valley (UAV-0.5m),Lombok,0.0818,0.5856,0.1436,0.0774,0.4303,0.7872
Longxi River (SAT),Lombok,0.0713,0.3185,0.1166,0.0619,0.4567,0.8529
Longxi River (UAV),Lombok,0.0806,0.5887,0.1418,0.0763,0.4276,0.7829
Mengdong Township,Lombok,0.0730,0.2486,0.1128,0.0598,0.4699,0.8809
Moxi town (UAV-0.2m),Lombok,0.0655,0.2953,0.1072,0.0566,0.4527,0.8501
Moxi town (UAV-1m),Lombok,0.0738,0.3744,0.1233,0.0657,0.4508,0.8378
Moxitaidi (SAT),Lombok,0.0802,0.3971,0.1335,0.0715,0.4563,0.8430
Moxitaidi (UAV-0.6m),Lombok,0.0351,0.0614,0.0446,0.0228,0.4713,0.9200
Moxitaidi (UAV-1m),Lombok,0.0516,0.2447,0.0853,0.0445,0.4417,0.8401
palu,Lombok,0.1625,0.3147,0.2143,0.1200,0.5245,0.9297
Tiburon Peninsula (planet),Lombok,0.0910,0.6107,0.1584,0.0860,0.4423,0.8023
Tiburon Peninsula (Sentinel),Lombok,0.0585,0.1909,0.0896,0.0469,0.4640,0.8818
Wenchuan,Lombok,0.0820,0.5425,0.1425,0.0767,0.4372,0.8011
Hokkaido Iburi-Tobu,Longxi River (SAT),0.6554,0.0041,0.0082,0.0041,0.4526,0.9011
Jiuzhai valley (UAV-0.2m),Longxi River (SAT),0.0976,0.0065,0.0121,0.0061,0.4508,0.8956
Jiuzhai valley (UAV-0.5m),Longxi River (SAT),0.3363,0.0236,0.0442,0.0226,0.4605,0.8986
Lombok,Longxi River (SAT),0.2642,0.0064,0.0125,0.0063,0.4530,0.8998
Longxi River (UAV),Longxi River (SAT),0.4462,0.0506,0.0910,0.0476,0.4734,0.8997
Mengdong Township,Longxi River (SAT),0.6372,0.4190,0.5055,0.3383,0.6268,0.9188
Moxi town (UAV-0.2m),Longxi River (SAT),0.8041,0.0416,0.0791,0.0412,0.4724,0.9040
Moxi town (UAV-1m),Longxi River (SAT),0.9688,0.1473,0.2556,0.1466,0.5302,0.9150
Moxitaidi (SAT),Longxi River (SAT),0.8226,0.1362,0.2338,0.1323,0.5213,0.9115
Moxitaidi (UAV-0.6m),Longxi River (SAT),0.9466,0.1482,0.2563,0.1470,0.5302,0.9148
Moxitaidi (UAV-1m),Longxi River (SAT),0.7529,0.1050,0.1844,0.1015,0.5042,0.9079
palu,Longxi River (SAT),0.4729,0.0007,0.0013,0.0007,0.4508,0.9009
Tiburon Peninsula (planet),Longxi River (SAT),0.0000,0.0000,0.0000,0.0000,0.4496,0.8992
Tiburon Peninsula (Sentinel),Longxi River (SAT),0.0000,0.0000,0.0000,0.0000,0.4488,0.8976
Wenchuan,Longxi River (SAT),0.4218,0.0475,0.0854,0.0446,0.4716,0.8992
Hokkaido Iburi-Tobu,Longxi River (UAV),0.4728,0.3477,0.4008,0.2506,0.5337,0.8274
Jiuzhai valley (UAV-0.2m),Longxi River (UAV),0.5466,0.7241,0.6229,0.4524,0.6435,0.8546
Jiuzhai valley (UAV-0.5m),Longxi River (UAV),0.3895,0.3108,0.3457,0.2090,0.5016,0.8048
Lombok,Longxi River (UAV),0.1887,0.1809,0.1847,0.1018,0.4143,0.7351
Longxi River (SAT),Longxi River (UAV),0.0400,0.0034,0.0063,0.0031,0.4121,0.8211
Mengdong Township,Longxi River (UAV),0.7081,0.1532,0.2519,0.1441,0.4946,0.8490
Moxi town (UAV-0.2m),Longxi River (UAV),0.2543,0.1420,0.1822,0.1002,0.4418,0.7885
Moxi town (UAV-1m),Longxi River (UAV),0.5855,0.2529,0.3532,0.2145,0.5270,0.8463
Moxitaidi (SAT),Longxi River (UAV),0.4639,0.4879,0.4756,0.3120,0.5589,0.8215
Moxitaidi (UAV-0.6m),Longxi River (UAV),0.3386,0.1553,0.2129,0.1191,0.4618,0.8095
Moxitaidi (UAV-1m),Longxi River (UAV),0.2859,0.2228,0.2504,0.1431,0.4567,0.7787
palu,Longxi River (UAV),0.7093,0.2937,0.4154,0.2622,0.5590,0.8628
Tiburon Peninsula (planet),Longxi River (UAV),0.6989,0.2698,0.3893,0.2417,0.5473,0.8595
Tiburon Peninsula (Sentinel),Longxi River (UAV),0.7516,0.1898,0.3031,0.1786,0.5145,0.8552
Wenchuan,Longxi River (UAV),0.6512,0.3384,0.4454,0.2865,0.5691,0.8601
Hokkaido Iburi-Tobu,Mengdong Township,0.4202,0.3287,0.3689,0.2261,0.5556,0.8887
Jiuzhai valley (UAV-0.2m),Mengdong Township,0.3215,0.8656,0.4688,0.3062,0.5470,0.8060
Jiuzhai valley (UAV-0.5m),Mengdong Township,0.4710,0.5331,0.5001,0.3334,0.6111,0.8946
Lombok,Mengdong Township,0.1182,0.5147,0.1923,0.1064,0.3278,0.5722
Longxi River (SAT),Mengdong Township,0.4989,0.2483,0.3316,0.1987,0.5486,0.9010
Longxi River (UAV),Mengdong Township,0.1741,0.9063,0.2921,0.1710,0.3469,0.5656
Moxi town (UAV-0.2m),Mengdong Township,0.4465,0.4458,0.4461,0.2871,0.5863,0.8905
Moxi town (UAV-1m),Mengdong Township,0.3130,0.7398,0.4399,0.2820,0.5405,0.8137
Moxitaidi (SAT),Mengdong Township,0.3397,0.7930,0.4756,0.3120,0.5622,0.8271
Moxitaidi (UAV-0.6m),Mengdong Township,0.5040,0.4325,0.4655,0.3034,0.6004,0.9018
Moxitaidi (UAV-1m),Mengdong Township,0.3834,0.5050,0.4359,0.2787,0.5713,0.8707
palu,Mengdong Township,0.4160,0.4108,0.4134,0.2606,0.5702,0.8847
Tiburon Peninsula (planet),Mengdong Township,0.3112,0.2146,0.2540,0.1455,0.5091,0.8754
Tiburon Peninsula (Sentinel),Mengdong Township,0.4673,0.5166,0.4907,0.3251,0.6067,0.8940
Wenchuan,Mengdong Township,0.4041,0.7683,0.5297,0.3602,0.6071,0.8651
Hokkaido Iburi-Tobu,Moxi town (UAV-0.2m),0.4041,0.6910,0.5100,0.3422,0.5536,0.7905
Jiuzhai valley (UAV-0.2m),Moxi town (UAV-0.2m),0.3851,0.7197,0.5018,0.3349,0.5403,0.7745
Jiuzhai valley (UAV-0.5m),Moxi town (UAV-0.2m),0.3019,0.7883,0.4365,0.2792,0.4563,0.6790
Lombok,Moxi town (UAV-0.2m),0.2443,0.5835,0.3444,0.2080,0.4110,0.6496
Longxi River (SAT),Moxi town (UAV-0.2m),0.3599,0.3378,0.3485,0.2110,0.5003,0.8008
Longxi River (UAV),Moxi town (UAV-0.2m),0.3014,0.5725,0.3949,0.2460,0.4709,0.7233
Mengdong Township,Moxi town (UAV-0.2m),0.5670,0.4573,0.5063,0.3389,0.5936,0.8593
Moxi town (UAV-1m),Moxi town (UAV-0.2m),0.4625,0.7380,0.5687,0.3973,0.5987,0.8234
Moxitaidi (SAT),Moxi town (UAV-0.2m),0.5769,0.4075,0.4777,0.3138,0.5818,0.8594
Moxitaidi (UAV-0.6m),Moxi town (UAV-0.2m),0.5946,0.2587,0.3605,0.2199,0.5345,0.8552
Moxitaidi (UAV-1m),Moxi town (UAV-0.2m),0.6361,0.2904,0.3988,0.2491,0.5521,0.8619
palu,Moxi town (UAV-0.2m),0.3186,0.3110,0.3147,0.1868,0.4811,0.7864
Tiburon Peninsula (planet),Moxi town (UAV-0.2m),0.2704,0.3089,0.2884,0.1685,0.4578,0.7595
Tiburon Peninsula (Sentinel),Moxi town (UAV-0.2m),0.2630,0.3162,0.2871,0.1676,0.4535,0.7524
Wenchuan,Moxi town (UAV-0.2m),0.2656,0.4271,0.3275,0.1958,0.4496,0.7233
Hokkaido Iburi-Tobu,Moxi town (UAV-1m),0.2512,0.5760,0.3498,0.2120,0.5303,0.8545
Jiuzhai valley (UAV-0.2m),Moxi town (UAV-1m),0.1278,0.8432,0.2220,0.1248,0.3493,0.5983
Jiuzhai valley (UAV-0.5m),Moxi town (UAV-1m),0.1475,0.8077,0.2494,0.1425,0.3964,0.6696
Lombok,Moxi town (UAV-1m),0.0942,0.9386,0.1711,0.0936,0.2168,0.3822
Longxi River (SAT),Moxi town (UAV-1m),0.5212,0.0427,0.0790,0.0411,0.4866,0.9323
Longxi River (UAV),Moxi town (UAV-1m),0.0985,0.9051,0.1777,0.0975,0.2455,0.4308
Mengdong Township,Moxi town (UAV-1m),0.0777,0.0686,0.0729,0.0378,0.4593,0.8813
Moxi town (UAV-0.2m),Moxi town (UAV-1m),0.3640,0.3111,0.3355,0.2016,0.5580,0.9162
Moxitaidi (SAT),Moxi town (UAV-1m),0.3197,0.1490,0.2033,0.1132,0.5165,0.9206
Moxitaidi (UAV-0.6m),Moxi town (UAV-1m),0.2529,0.0476,0.0801,0.0417,0.4836,0.9257
Moxitaidi (UAV-1m),Moxi town (UAV-1m),0.3212,0.0402,0.0714,0.0370,0.4829,0.9290
palu,Moxi town (UAV-1m),0.1588,0.7874,0.2644,0.1523,0.4188,0.7022
Tiburon Peninsula (planet),Moxi town (UAV-1m),0.1658,0.8149,0.2755,0.1598,0.4257,0.7087
Tiburon Peninsula (Sentinel),Moxi town (UAV-1m),0.1762,0.5135,0.2623,0.1510,0.4738,0.8038
Wenchuan,Moxi town (UAV-1m),0.1496,0.5134,0.2317,0.1310,0.4456,0.7686
Hokkaido Iburi-Tobu,Moxitaidi (SAT),0.2724,0.2879,0.2799,0.1627,0.5328,0.9046
Jiuzhai valley (UAV-0.2m),Moxitaidi (SAT),0.2074,0.8308,0.3319,0.1990,0.4857,0.7846
Jiuzhai valley (UAV-0.5m),Moxitaidi (SAT),0.2159,0.8189,0.3418,0.2061,0.4958,0.7968
Lombok,Moxitaidi (SAT),0.1796,0.7653,0.2909,0.1702,0.4587,0.7597
Longxi River (SAT),Moxitaidi (SAT),0.5998,0.1604,0.2531,0.1449,0.5416,0.9390
Longxi River (UAV),Moxitaidi (SAT),0.1792,0.8086,0.2933,0.1719,0.4536,0.7491
Mengdong Township,Moxitaidi (SAT),0.2735,0.7028,0.3938,0.2452,0.5496,0.8606
Moxi town (UAV-0.2m),Moxitaidi (SAT),0.6193,0.5903,0.6045,0.4332,0.6907,0.9503
Moxi town (UAV-1m),Moxitaidi (SAT),0.3384,0.6172,0.4372,0.2797,0.5866,0.8976
Moxitaidi (UAV-0.6m),Moxitaidi (SAT),0.7582,0.0957,0.1699,0.0928,0.5161,0.9398
Moxitaidi (UAV-1m),Moxitaidi (SAT),0.5608,0.2287,0.3249,0.1939,0.5659,0.9388
