source_region,target_region,precision,recall,f1,iou,miou,oa
Jiuzhai valley (UAV-0.2m),Hokkaido Iburi-Tobu,0.6469,0.2854,0.3961,0.2469,0.5819,0.9191
Jiuzhai valley (UAV-0.5m),Hokkaido Iburi-Tobu,0.6506,0.5429,0.5919,0.4203,0.6735,0.9304
Lombok,Hokkaido Iburi-Tobu,0.2688,0.1345,0.1793,0.0985,0.4913,0.8855
Longxi River (SAT),Hokkaido Iburi-Tobu,0.8725,0.0065,0.0128,0.0065,0.4570,0.9076
Longxi River (UAV),Hokkaido Iburi-Tobu,0.1382,0.9264,0.2405,0.1367,0.2708,0.4561
Mengdong Township,Hokkaido Iburi-Tobu,0.7471,0.2654,0.3917,0.2435,0.5825,0.9234
Moxi town (UAV-0.2m),Hokkaido Iburi-Tobu,0.8201,0.1109,0.1954,0.1083,0.5113,0.9151
Moxi town (UAV-1m),Hokkaido Iburi-Tobu,0.6940,0.1051,0.1826,0.1005,0.5061,0.9125
Moxitaidi (SAT),Hokkaido Iburi-Tobu,0.6724,0.4338,0.5274,0.3581,0.6414,0.9277
Moxitaidi (UAV-0.6m),Hokkaido Iburi-Tobu,0.8047,0.0384,0.0733,0.0381,0.4737,0.9098
Moxitaidi (UAV-1m),Hokkaido Iburi-Tobu,0.7355,0.0805,0.1450,0.0782,0.4947,0.9118
palu,Hokkaido Iburi-Tobu,0.4348,0.2274,0.2986,0.1755,0.5370,0.9007
Tiburon Peninsula (planet),Hokkaido Iburi-Tobu,0.6379,0.4697,0.5410,0.3708,0.6467,0.9259
Tiburon Peninsula (Sentinel),Hokkaido Iburi-Tobu,0.3724,0.0380,0.0690,0.0358,0.4700,0.9046
Wenchuan,Hokkaido Iburi-Tobu,0.6198,0.1575,0.2512,0.1437,0.5275,0.9127
Hokkaido Iburi-Tobu,Jiuzhai valley (UAV-0.2m),0.6190,0.6026,0.6107,0.4396,0.6099,0.8125
Jiuzhai valley (UAV-0.5m),Jiuzhai valley (UAV-0.2m),0.7818,0.6604,0.7160,0.5576,0.7026,0.8721
Lombok,Jiuzhai valley (UAV-0.2m),0.8046,0.3154,0.4531,0.2929,0.5458,0.8142
Longxi River (SAT),Jiuzhai valley (UAV-0.2m),0.5173,0.5794,0.5466,0.3761,0.5515,0.7655
Longxi River (UAV),Jiuzhai valley (UAV-0.2m),0.7111,0.5542,0.6229,0.4524,0.6315,0.8363
Mengdong Township,Jiuzhai valley (UAV-0.2m),0.8219,0.4554,0.5861,0.4145,0.6190,0.8430
Moxi town (UAV-0.2m),Jiuzhai valley (UAV-0.2m),0.7387,0.6763,0.7061,0.5457,0.6906,0.8626
