source_region,target_region,precision,recall,f1,iou,miou,oa
Jiuzhai valley (UAV-0.2m),Hokkaido Iburi-Tobu,0.5084,0.5250,0.5166,0.3482,0.6261,0.9087
Jiuzhai valley (UAV-0.5m),Hokkaido Iburi-Tobu,0.3488,0.8603,0.4964,0.3301,0.5769,0.8377
Lombok,Hokkaido Iburi-Tobu,0.3617,0.6492,0.4646,0.3026,0.5773,0.8609
Longxi River (SAT),Hokkaido Iburi-Tobu,0.8365,0.3838,0.5262,0.3570,0.6452,0.9358
Longxi River (UAV),Hokkaido Iburi-Tobu,0.2591,0.6996,0.3782,0.2332,0.5022,0.7861
Mengdong Township,Hokkaido Iburi-Tobu,0.7741,0.1870,0.3012,0.1773,0.5476,0.9194
Moxi town (UAV-0.2m),Hokkaido Iburi-Tobu,0.4977,0.1407,0.2193,0.1232,0.5144,0.9069
Moxi town (UAV-1m),Hokkaido Iburi-Tobu,0.7128,0.2318,0.3499,0.2120,0.5651,0.9199
Moxitaidi (SAT),Hokkaido Iburi-Tobu,0.6025,0.5639,0.5826,0.4110,0.6659,0.9249
Moxitaidi (UAV-0.6m),Hokkaido Iburi-Tobu,0.8113,0.0159,0.0312,0.0159,0.4620,0.9082
Moxitaidi (UAV-1m),Hokkaido Iburi-Tobu,0.7810,0.0519,0.0974,0.0512,0.4806,0.9105
palu,Hokkaido Iburi-Tobu,0.6580,0.0825,0.1467,0.0791,0.4946,0.9107
Tiburon Peninsula (planet),Hokkaido Iburi-Tobu,0.4396,0.7889,0.5646,0.3933,0.6356,0.8869
Tiburon Peninsula (Sentinel),Hokkaido Iburi-Tobu,0.6249,0.2943,0.4001,0.2501,0.5829,0.9180
Wenchuan,Hokkaido Iburi-Tobu,0.4853,0.3557,0.4105,0.2583,0.5800,0.9050
Hokkaido Iburi-Tobu,Jiuzhai valley (UAV-0.2m),0.5683,0.6844,0.6210,0.4503,0.6028,0.7961
Jiuzhai valley (UAV-0.5m),Jiuzhai valley (UAV-0.2m),0.7138,0.7300,0.7218,0.5647,0.6988,0.8627
Lombok,Jiuzhai valley (UAV-0.2m),0.5680,0.1976,0.2932,0.1718,0.4638,0.7675
Longxi River (SAT),Jiuzhai valley (UAV-0.2m),0.5401,0.5656,0.5525,0.3817,0.5612,0.7765
Longxi River (UAV),Jiuzhai valley (UAV-0.2m),0.6561,0.5658,0.6076,0.4364,0.6147,0.8217
Mengdong Township,Jiuzhai valley (UAV-0.2m),0.7651,0.5754,0.6568,0.4890,0.6592,0.8533
Moxi town (UAV-0.2m),Jiuzhai valley (UAV-0.2m),0.6893,0.4662,0.5562,0.3853,0.5902,0.8185
Moxi town (UAV-1m),Jiuzhai valley (UAV-0.2m),0.7461,0.4451,0.5575,0.3865,0.5966,0.8276
Moxitaidi (SAT),Jiuzhai valley (UAV-0.2m),0.7137,0.1169,0.2010,0.1117,0.4391,0.7731
Moxitaidi (UAV-0.6m),Jiuzhai valley (UAV-0.2m),0.7759,0.5282,0.6285,0.4583,0.6417,0.8476
Moxitaidi (UAV-1m),Jiuzhai valley (UAV-0.2m),0.7983,0.5433,0.6466,0.4778,0.6553,0.8551
palu,Jiuzhai valley (UAV-0.2m),0.2764,0.0271,0.0494,0.0253,0.3844,0.7453
Tiburon Peninsula (planet),Jiuzhai valley (UAV-0.2m),0.8056,0.4939,0.6124,0.4413,0.6339,0.8474
Tiburon Peninsula (Sentinel),Jiuzhai valley (UAV-0.2m),0.7700,0.5052,0.6101,0.4389,0.6296,0.8424
Wenchuan,Jiuzhai valley (UAV-0.2m),0.7435,0.4323,0.5467,0.3762,0.5903,0.8251
Hokkaido Iburi-Tobu,Jiuzhai valley (UAV-0.5m),0.3786,0.8158,0.5172,0.3488,0.5781,0.8254
Jiuzhai valley (UAV-0.2m),Jiuzhai valley (UAV-0.5m),0.5172,0.8280,0.6367,0.4670,0.6736,0.8916
Lombok,Jiuzhai valley (UAV-0.5m),0.6655,0.6470,0.6561,0.4882,0.7021,0.9222
Longxi River (SAT),Jiuzhai valley (UAV-0.5m),0.6708,0.1806,0.2846,0.1659,0.5298,0.8959
Longxi River (UAV),Jiuzhai valley (UAV-0.5m),0.5163,0.4398,0.4750,0.3115,0.5970,0.8885
Mengdong Township,Jiuzhai valley (UAV-0.5m),0.7497,0.5927,0.6620,0.4948,0.7102,0.9306
Moxi town (UAV-0.2m),Jiuzhai valley (UAV-0.5m),0.7136,0.6197,0.6634,0.4963,0.7093,0.9279
Moxi town (UAV-1m),Jiuzhai valley (UAV-0.5m),0.4924,0.7633,0.5986,0.4272,0.6493,0.8826
Moxitaidi (SAT),Jiuzhai valley (UAV-0.5m),0.6697,0.6345,0.6516,0.4833,0.6997,0.9222
Moxitaidi (UAV-0.6m),Jiuzhai valley (UAV-0.5m),0.7027,0.1661,0.2686,0.1552,0.5247,0.8963
Moxitaidi (UAV-1m),Jiuzhai valley (UAV-0.5m),0.5799,0.5850,0.5824,0.4109,0.6539,0.9038
palu,Jiuzhai valley (UAV-0.5m),0.6348,0.0934,0.1629,0.0887,0.4887,0.8899
Tiburon Peninsula (planet),Jiuzhai valley (UAV-0.5m),0.7245,0.6255,0.6714,0.5053,0.7148,0.9298
Tiburon Peninsula (Sentinel),Jiuzhai valley (UAV-0.5m),0.6556,0.6279,0.6414,0.4721,0.6927,0.9195
Wenchuan,Jiuzhai valley (UAV-0.5m),0.5674,0.5089,0.5365,0.3666,0.6298,0.8992
Hokkaido Iburi-Tobu,Lombok,0.0921,0.5881,0.1592,0.0865,0.4469,0.8108
Jiuzhai valley (UAV-0.2m),Lombok,0.0768,0.6697,0.1378,0.0740,0.4067,0.7447
Jiuzhai valley (UAV-0.5m),Lombok,0.0732,0.5176,0.1282,0.0685,0.4253,0.7856
