source_region,target_region,precision,recall,f1,iou,miou,oa
Jiuzhai valley (UAV-0.2m),Hokkaido Iburi-Tobu,0.6808,0.2583,0.3745,0.2304,0.5741,0.9198
Jiuzhai valley (UAV-0.5m),Hokkaido Iburi-Tobu,0.6016,0.6173,0.6093,0.4382,0.6801,0.9264
Lombok,Hokkaido Iburi-Tobu,0.2273,0.1121,0.1502,0.0812,0.4810,0.8820
Longxi River (SAT),Hokkaido Iburi-Tobu,0.8704,0.1496,0.2553,0.1463,0.5320,0.9189
Longxi River (UAV),Hokkaido Iburi-Tobu,0.2902,0.8071,0.4269,0.2714,0.5268,0.7986
Mengdong Township,Hokkaido Iburi-Tobu,0.6390,0.0833,0.1474,0.0795,0.4946,0.9104
Moxi town (UAV-0.2m),Hokkaido Iburi-Tobu,0.6353,0.0671,0.1213,0.0646,0.4869,0.9097
Moxi town (UAV-1m),Hokkaido Iburi-Tobu,0.7891,0.1518,0.2547,0.1459,0.5311,0.9174
Moxitaidi (SAT),Hokkaido Iburi-Tobu,0.6439,0.1137,0.1932,0.1070,0.5089,0.9118
Moxitaidi (UAV-0.6m),Hokkaido Iburi-Tobu,0.3919,0.0311,0.0576,0.0296,0.4674,0.9055
Moxitaidi (UAV-1m),Hokkaido Iburi-Tobu,0.8030,0.0978,0.1744,0.0955,0.5043,0.9139
palu,Hokkaido Iburi-Tobu,0.3847,0.0150,0.0289,0.0147,0.4604,0.9062
Tiburon Peninsula (planet),Hokkaido Iburi-Tobu,0.6905,0.4648,0.5556,0.3847,0.6562,0.9309
Tiburon Peninsula (Sentinel),Hokkaido Iburi-Tobu,0.4094,0.0186,0.0355,0.0181,0.4621,0.9063
Wenchuan,Hokkaido Iburi-Tobu,0.7092,0.3000,0.4216,0.2671,0.5942,0.9235
Hokkaido Iburi-Tobu,Jiuzhai valley (UAV-0.2m),0.7871,0.4862,0.6011,0.4297,0.6255,0.8425
Jiuzhai valley (UAV-0.5m),Jiuzhai valley (UAV-0.2m),0.7758,0.6933,0.7322,0.5776,0.7143,0.8763
Lombok,Jiuzhai valley (UAV-0.2m),0.7011,0.2260,0.3418,0.2061,0.4907,0.7876
Longxi River (SAT),Jiuzhai valley (UAV-0.2m),0.5467,0.6280,0.5845,0.4130,0.5779,0.7822
Longxi River (UAV),Jiuzhai valley (UAV-0.2m),0.6984,0.5457,0.6127,0.4416,0.6237,0.8316
Mengdong Township,Jiuzhai valley (UAV-0.2m),0.7851,0.5345,0.6360,0.4663,0.6473,0.8507
Moxi town (UAV-0.2m),Jiuzhai valley (UAV-0.2m),0.6633,0.7302,0.6952,0.5328,0.6713,0.8437
Moxi town (UAV-1m),Jiuzhai valley (UAV-0.2m),0.7312,0.5910,0.6537,0.4855,0.6535,0.8472
Moxitaidi (SAT),Jiuzhai valley (UAV-0.2m),0.3917,0.7662,0.5184,0.3499,0.4613,0.6526
Moxitaidi (UAV-0.6m),Jiuzhai valley (UAV-0.2m),0.7789,0.7051,0.7401,0.5875,0.7208,0.8792
Moxitaidi (UAV-1m),Jiuzhai valley (UAV-0.2m),0.8243,0.6486,0.7260,0.5698,0.7140,0.8805
palu,Jiuzhai valley (UAV-0.2m),0.7030,0.0656,0.1200,0.0638,0.4126,0.7652
Tiburon Peninsula (planet),Jiuzhai valley (UAV-0.2m),0.6835,0.6461,0.6643,0.4973,0.6541,0.8406
Tiburon Peninsula (Sentinel),Jiuzhai valley (UAV-0.2m),0.8694,0.2120,0.3408,0.2054,0.4972,0.7999
Wenchuan,Jiuzhai valley (UAV-0.2m),0.7490,0.4735,0.5802,0.4087,0.6098,0.8328
Hokkaido Iburi-Tobu,Jiuzhai valley (UAV-0.5m),0.4365,0.7375,0.5484,0.3778,0.6128,0.8607
Jiuzhai valley (UAV-0.2m),Jiuzhai valley (UAV-0.5m),0.7480,0.6847,0.7149,0.5564,0.7442,0.9374
Lombok,Jiuzhai valley (UAV-0.5m),0.7137,0.3987,0.5116,0.3438,0.6261,0.9127
Longxi River (SAT),Jiuzhai valley (UAV-0.5m),0.5118,0.3724,0.4311,0.2748,0.5785,0.8873
Longxi River (UAV),Jiuzhai valley (UAV-0.5m),0.5435,0.5979,0.5694,0.3980,0.6434,0.8963
Mengdong Township,Jiuzhai valley (UAV-0.5m),0.7114,0.5566,0.6245,0.4541,0.6860,0.9233
Moxi town (UAV-0.2m),Jiuzhai valley (UAV-0.5m),0.6396,0.6926,0.6651,0.4982,0.7057,0.9200
Moxi town (UAV-1m),Jiuzhai valley (UAV-0.5m),0.7210,0.6040,0.6573,0.4896,0.7060,0.9278
Moxitaidi (SAT),Jiuzhai valley (UAV-0.5m),0.0955,0.6455,0.1664,0.0907,0.1448,0.2582
Moxitaidi (UAV-0.6m),Jiuzhai valley (UAV-0.5m),0.7520,0.4459,0.5598,0.3887,0.6520,0.9196
Moxitaidi (UAV-1m),Jiuzhai valley (UAV-0.5m),0.7309,0.6036,0.6611,0.4938,0.7088,0.9291
palu,Jiuzhai valley (UAV-0.5m),0.4116,0.0812,0.1357,0.0728,0.4765,0.8813
Tiburon Peninsula (planet),Jiuzhai valley (UAV-0.5m),0.2649,0.8655,0.4057,0.2545,0.4658,0.7092
Tiburon Peninsula (Sentinel),Jiuzhai valley (UAV-0.5m),0.6278,0.3370,0.4386,0.2809,0.5890,0.9011
Wenchuan,Jiuzhai valley (UAV-0.5m),0.6662,0.3706,0.4763,0.3126,0.6075,0.9065
Hokkaido Iburi-Tobu,Lombok,0.1183,0.5890,0.1970,0.1092,0.4801,0.8537
Jiuzhai valley (UAV-0.2m),Lombok,0.0777,0.3653,0.1282,0.0685,0.4577,0.8486
Jiuzhai valley (UAV-0.5m),Lombok,0.0886,0.6391,0.1557,0.0844,0.4345,0.7888
Longxi River (SAT),Lombok,0.0727,0.3001,0.1170,0.0622,0.4614,0.8620
Longxi River (UAV),Lombok,0.0764,0.5727,0.1349,0.0723,0.4222,0.7762
Mengdong Township,Lombok,0.0548,0.2823,0.0918,0.0481,0.4382,0.8298
Moxi town (UAV-0.2m),Lombok,0.0913,0.3149,0.1415,0.0761,0.4793,0.8836
Moxi town (UAV-1m),Lombok,0.0958,0.3830,0.1533,0.0830,0.4763,0.8711
Moxitaidi (SAT),Lombok,0.0347,0.5710,0.0654,0.0338,0.2640,0.5030
Moxitaidi (UAV-0.6m),Lombok,0.0663,0.2716,0.1066,0.0563,0.4582,0.8612
Moxitaidi (UAV-1m),Lombok,0.0662,0.4151,0.1142,0.0605,0.4309,0.8038
palu,Lombok,0.3415,0.0565,0.0970,0.0510,0.5094,0.9679
