source_region,target_region,precision,recall,f1,iou,miou,oa
Jiuzhai valley (UAV-0.2m),Hokkaido Iburi-Tobu,0.6300,0.4030,0.4916,0.3259,0.6227,0.9225
Jiuzhai valley (UAV-0.5m),Hokkaido Iburi-Tobu,0.4872,0.6943,0.5726,0.4012,0.6491,0.9037
Lombok,Hokkaido Iburi-Tobu,0.3900,0.2745,0.3223,0.1921,0.5410,0.8927
Longxi River (SAT),Hokkaido Iburi-Tobu,0.8954,0.0536,0.1011,0.0533,0.4821,0.9114
Longxi River (UAV),Hokkaido Iburi-Tobu,0.1460,0.9134,0.2517,0.1440,0.2962,0.4953
Mengdong Township,Hokkaido Iburi-Tobu,0.8501,0.2965,0.4397,0.2818,0.6048,0.9298
Moxi town (UAV-0.2m),Hokkaido Iburi-Tobu,0.7233,0.1090,0.1895,0.1046,0.5085,0.9133
Moxi town (UAV-1m),Hokkaido Iburi-Tobu,0.7711,0.1765,0.2873,0.1678,0.5425,0.9186
Moxitaidi (SAT),Hokkaido Iburi-Tobu,0.5914,0.0951,0.1638,0.0892,0.4991,0.9098
Moxitaidi (UAV-0.6m),Hokkaido Iburi-Tobu,0.8078,0.0080,0.0159,0.0080,0.4578,0.9076
Moxitaidi (UAV-1m),Hokkaido Iburi-Tobu,0.7532,0.2263,0.3480,0.2106,0.5651,0.9212
palu,Hokkaido Iburi-Tobu,0.5118,0.1629,0.2472,0.1410,0.5237,0.9077
Tiburon Peninsula (planet),Hokkaido Iburi-Tobu,0.5765,0.5285,0.5515,0.3807,0.6483,0.9201
Tiburon Peninsula (Sentinel),Hokkaido Iburi-Tobu,0.6250,0.0875,0.1535,0.0831,0.4963,0.9103
Wenchuan,Hokkaido Iburi-Tobu,0.5826,0.2298,0.3296,0.1973,0.5543,0.9131
Hokkaido Iburi-Tobu,Jiuzhai valley (UAV-0.2m),0.4905,0.7140,0.5815,0.4099,0.5531,0.7492
Jiuzhai valley (UAV-0.5m),Jiuzhai valley (UAV-0.2m),0.7745,0.6560,0.7103,0.5508,0.6977,0.8695
Lombok,Jiuzhai valley (UAV-0.2m),0.6703,0.3719,0.4784,0.3144,0.5484,0.8021
Longxi River (SAT),Jiuzhai valley (UAV-0.2m),0.5811,0.5627,0.5717,0.4003,0.5809,0.7943
Longxi River (UAV),Jiuzhai valley (UAV-0.2m),0.6555,0.5264,0.5839,0.4124,0.6012,0.8169
Mengdong Township,Jiuzhai valley (UAV-0.2m),0.7710,0.5090,0.6132,0.4421,0.6316,0.8433
Moxi town (UAV-0.2m),Jiuzhai valley (UAV-0.2m),0.7572,0.6951,0.7249,0.5685,0.7067,0.8712
Moxi town (UAV-1m),Jiuzhai valley (UAV-0.2m),0.7891,0.4959,0.6091,0.4379,0.6306,0.8446
Moxitaidi (SAT),Jiuzhai valley (UAV-0.2m),0.2770,0.5241,0.3625,0.2213,0.3527,0.5501
Moxitaidi (UAV-0.6m),Jiuzhai valley (UAV-0.2m),0.7364,0.6336,0.6811,0.5165,0.6726,0.8552
Moxitaidi (UAV-1m),Jiuzhai valley (UAV-0.2m),0.8457,0.6040,0.7047,0.5440,0.6996,0.8765
palu,Jiuzhai valley (UAV-0.2m),0.8335,0.1074,0.1903,0.1052,0.4381,0.7770
Tiburon Peninsula (planet),Jiuzhai valley (UAV-0.2m),0.7945,0.4179,0.5477,0.3771,0.5948,0.8316
Tiburon Peninsula (Sentinel),Jiuzhai valley (UAV-0.2m),0.7372,0.2406,0.3628,0.2216,0.5013,0.7938
Wenchuan,Jiuzhai valley (UAV-0.2m),0.7363,0.5414,0.6240,0.4535,0.6350,0.8408
Hokkaido Iburi-Tobu,Jiuzhai valley (UAV-0.5m),0.2063,0.8437,0.3315,0.1987,0.3833,0.6098
Jiuzhai valley (UAV-0.2m),Jiuzhai valley (UAV-0.5m),0.7259,0.5965,0.6549,0.4868,0.7047,0.9279
Lombok,Jiuzhai valley (UAV-0.5m),0.5564,0.5799,0.5679,0.3965,0.6441,0.8988
Longxi River (SAT),Jiuzhai valley (UAV-0.5m),0.7249,0.2183,0.3356,0.2016,0.5500,0.9009
Longxi River (UAV),Jiuzhai valley (UAV-0.5m),0.5203,0.5744,0.5460,0.3756,0.6292,0.8905
Mengdong Township,Jiuzhai valley (UAV-0.5m),0.6897,0.5233,0.5951,0.4235,0.6683,0.9183
Moxi town (UAV-0.2m),Jiuzhai valley (UAV-0.5m),0.7571,0.5530,0.6391,0.4696,0.6966,0.9284
Moxi town (UAV-1m),Jiuzhai valley (UAV-0.5m),0.7091,0.6908,0.6999,0.5383,0.7323,0.9321
Moxitaidi (SAT),Jiuzhai valley (UAV-0.5m),0.1625,0.9145,0.2760,0.1601,0.2728,0.4499
Moxitaidi (UAV-0.6m),Jiuzhai valley (UAV-0.5m),0.7556,0.2914,0.4206,0.2663,0.5855,0.9079
Moxitaidi (UAV-1m),Jiuzhai valley (UAV-0.5m),0.8030,0.4969,0.6139,0.4429,0.6835,0.9283
palu,Jiuzhai valley (UAV-0.5m),0.3177,0.2899,0.3032,0.1787,0.5103,0.8472
Tiburon Peninsula (planet),Jiuzhai valley (UAV-0.5m),0.7124,0.5709,0.6339,0.4640,0.6915,0.9244
Tiburon Peninsula (Sentinel),Jiuzhai valley (UAV-0.5m),0.7987,0.2632,0.3959,0.2468,0.5759,0.9079
Wenchuan,Jiuzhai valley (UAV-0.5m),0.6616,0.3076,0.4200,0.2658,0.5824,0.9026
Hokkaido Iburi-Tobu,Lombok,0.1561,0.5151,0.2396,0.1361,0.5174,0.9004
Jiuzhai valley (UAV-0.2m),Lombok,0.0765,0.2667,0.1189,0.0632,0.4709,0.8795
Jiuzhai valley (UAV-0.5m),Lombok,0.0797,0.6200,0.1413,0.0760,0.4210,0.7704
Longxi River (SAT),Lombok,0.0684,0.2317,0.1057,0.0558,0.4677,0.8805
Longxi River (UAV),Lombok,0.0824,0.6295,0.1457,0.0786,0.4247,0.7752
Mengdong Township,Lombok,0.0627,0.2460,0.0999,0.0526,0.4582,0.8649
Moxi town (UAV-0.2m),Lombok,0.0672,0.2796,0.1084,0.0573,0.4580,0.8599
Moxi town (UAV-1m),Lombok,0.0998,0.3805,0.1582,0.0859,0.4805,0.8766
Moxitaidi (SAT),Lombok,0.0355,0.5354,0.0665,0.0344,0.2846,0.5423
Moxitaidi (UAV-0.6m),Lombok,0.0629,0.2801,0.1027,0.0542,0.4519,0.8510
Moxitaidi (UAV-1m),Lombok,0.0634,0.3605,0.1079,0.0570,0.4366,0.8183
palu,Lombok,0.5662,0.1087,0.1824,0.1004,0.5353,0.9703
Tiburon Peninsula (planet),Lombok,0.1170,0.7092,0.2009,0.1117,0.4680,0.8281
Tiburon Peninsula (Sentinel),Lombok,0.3009,0.1905,0.2333,0.1321,0.5468,0.9618
Wenchuan,Lombok,0.0788,0.3432,0.1282,0.0685,0.4624,0.8578
Hokkaido Iburi-Tobu,Longxi River (SAT),0.6096,0.0024,0.0047,0.0024,0.4517,0.9010
Jiuzhai valley (UAV-0.2m),Longxi River (SAT),0.0000,0.0000,0.0000,0.0000,0.4503,0.9007
Jiuzhai valley (UAV-0.5m),Longxi River (SAT),0.8361,0.2849,0.4250,0.2698,0.5956,0.9236
Lombok,Longxi River (SAT),0.0102,0.0000,0.0001,0.0000,0.4503,0.9006
Longxi River (UAV),Longxi River (SAT),0.0254,0.0778,0.0383,0.0195,0.3150,0.6135
Mengdong Township,Longxi River (SAT),0.8440,0.2538,0.3903,0.2425,0.5809,0.9214
Moxi town (UAV-0.2m),Longxi River (SAT),0.1157,0.0003,0.0005,0.0003,0.4505,0.9007
Moxi town (UAV-1m),Longxi River (SAT),0.9792,0.0151,0.0298,0.0151,0.4587,0.9024
Moxitaidi (SAT),Longxi River (SAT),0.1914,0.9198,0.3168,0.1882,0.3779,0.6070
Moxitaidi (UAV-0.6m),Longxi River (SAT),0.8035,0.0403,0.0767,0.0399,0.4717,0.9039
Moxitaidi (UAV-1m),Longxi River (SAT),0.4377,0.0018,0.0036,0.0018,0.4513,0.9009
palu,Longxi River (SAT),0.0000,0.0000,0.0000,0.0000,0.4503,0.9007
Tiburon Peninsula (planet),Longxi River (SAT),0.6627,0.0149,0.0291,0.0148,0.4581,0.9016
Tiburon Peninsula (Sentinel),Longxi River (SAT),0.0000,0.0000,0.0000,0.0000,0.4503,0.9006
Wenchuan,Longxi River (SAT),0.0950,0.0027,0.0053,0.0027,0.4506,0.8986
Hokkaido Iburi-Tobu,Longxi River (UAV),0.6065,0.1756,0.2724,0.1577,0.4986,0.8443
Jiuzhai valley (UAV-0.2m),Longxi River (UAV),0.4838,0.3491,0.4056,0.2544,0.5371,0.8302
Jiuzhai valley (UAV-0.5m),Longxi River (UAV),0.6683,0.1006,0.1749,0.0958,0.4678,0.8425
Lombok,Longxi River (UAV),0.1628,0.3341,0.2190,0.1229,0.3521,0.6045
Longxi River (SAT),Longxi River (UAV),0.3576,0.3304,0.3435,0.2074,0.4928,0.7904
Mengdong Township,Longxi River (UAV),0.4598,0.1455,0.2211,0.1243,0.4750,0.8298
Moxi town (UAV-0.2m),Longxi River (UAV),0.1109,0.0033,0.0065,0.0032,0.4167,0.8302
Moxi town (UAV-1m),Longxi River (UAV),0.7840,0.0812,0.1471,0.0794,0.4606,0.8438
Moxitaidi (SAT),Longxi River (UAV),0.2320,0.4404,0.3039,0.1792,0.4090,0.6652
Moxitaidi (UAV-0.6m),Longxi River (UAV),0.4393,0.1578,0.2322,0.1314,0.4768,0.8268
Moxitaidi (UAV-1m),Longxi River (UAV),0.3265,0.0956,0.1479,0.0798,0.4470,0.8172
palu,Longxi River (UAV),0.7111,0.0208,0.0404,0.0206,0.4281,0.8361
Tiburon Peninsula (planet),Longxi River (UAV),0.5798,0.1888,0.2848,0.1661,0.5018,0.8427
Tiburon Peninsula (Sentinel),Longxi River (UAV),0.6118,0.0214,0.0414,0.0211,0.4280,0.8354
Wenchuan,Longxi River (UAV),0.6389,0.1523,0.2460,0.1403,0.4906,0.8451
Hokkaido Iburi-Tobu,Mengdong Township,0.5824,0.3640,0.4480,0.2887,0.5983,0.9113
Jiuzhai valley (UAV-0.2m),Mengdong Township,0.2561,0.8467,0.3933,0.2448,0.4814,0.7416
Jiuzhai valley (UAV-0.5m),Mengdong Township,0.6009,0.1606,0.2535,0.1451,0.5250,0.9064
Lombok,Mengdong Township,0.0511,0.1220,0.0720,0.0374,0.3613,0.6890
Longxi River (SAT),Mengdong Township,0.4092,0.4805,0.4420,0.2837,0.5788,0.8800
Longxi River (UAV),Mengdong Township,0.2949,0.8862,0.4426,0.2842,0.5211,0.7792
Moxi town (UAV-0.2m),Mengdong Township,0.6940,0.1649,0.2665,0.1538,0.5312,0.9102
Moxi town (UAV-1m),Mengdong Township,0.4503,0.3377,0.3860,0.2391,0.5646,0.8937
Moxitaidi (SAT),Mengdong Township,0.2588,0.4996,0.3410,0.2056,0.5023,0.8090
Moxitaidi (UAV-0.6m),Mengdong Township,0.5136,0.4115,0.4569,0.2961,0.5976,0.9033
Moxitaidi (UAV-1m),Mengdong Township,0.5213,0.3587,0.4250,0.2698,0.5852,0.9040
palu,Mengdong Township,0.5114,0.0066,0.0130,0.0065,0.4538,0.9011
Tiburon Peninsula (planet),Mengdong Township,0.1524,0.3957,0.2200,0.1236,0.4174,0.7225
Tiburon Peninsula (Sentinel),Mengdong Township,0.1023,0.0208,0.0346,0.0176,0.4512,0.8851
Wenchuan,Mengdong Township,0.5870,0.3165,0.4112,0.2588,0.5832,0.9104
Hokkaido Iburi-Tobu,Moxi town (UAV-0.2m),0.3294,0.6637,0.4402,0.2823,0.4924,0.7338
Jiuzhai valley (UAV-0.2m),Moxi town (UAV-0.2m),0.3472,0.5325,0.4204,0.2661,0.5066,0.7683
Jiuzhai valley (UAV-0.5m),Moxi town (UAV-0.2m),0.2997,0.6872,0.4174,0.2638,0.4622,0.6974
Lombok,Moxi town (UAV-0.2m),0.1610,0.3386,0.2183,0.1225,0.3592,0.6174
Longxi River (SAT),Moxi town (UAV-0.2m),0.4714,0.2797,0.3511,0.2129,0.5211,0.8369
Longxi River (UAV),Moxi town (UAV-0.2m),0.2171,0.6246,0.3222,0.1920,0.3660,0.5854
Mengdong Township,Moxi town (UAV-0.2m),0.5665,0.4817,0.5207,0.3520,0.6003,0.8601
Moxi town (UAV-1m),Moxi town (UAV-0.2m),0.6243,0.6309,0.6276,0.4573,0.6631,0.8819
Moxitaidi (SAT),Moxi town (UAV-0.2m),0.1791,0.6409,0.2799,0.1628,0.2921,0.4800
Moxitaidi (UAV-0.6m),Moxi town (UAV-0.2m),0.6500,0.4181,0.5089,0.3413,0.6025,0.8727
Moxitaidi (UAV-1m),Moxi town (UAV-0.2m),0.5719,0.4348,0.4940,0.3281,0.5886,0.8595
palu,Moxi town (UAV-0.2m),0.1153,0.0110,0.0200,0.0101,0.4203,0.8307
Tiburon Peninsula (planet),Moxi town (UAV-0.2m),0.2299,0.8218,0.3593,0.2190,0.3439,0.5376
Tiburon Peninsula (Sentinel),Moxi town (UAV-0.2m),0.2201,0.0880,0.1257,0.0671,0.4357,0.8070
Wenchuan,Moxi town (UAV-0.2m),0.3349,0.1526,0.2097,0.1171,0.4656,0.8185
Hokkaido Iburi-Tobu,Moxi town (UAV-1m),0.2708,0.6917,0.3892,0.2416,0.5434,0.8524
Jiuzhai valley (UAV-0.2m),Moxi town (UAV-1m),0.3698,0.3616,0.3657,0.2237,0.5682,0.9147
Jiuzhai valley (UAV-0.5m),Moxi town (UAV-1m),0.1329,0.9246,0.2324,0.1315,0.3442,0.5848
Lombok,Moxi town (UAV-1m),0.1220,0.8536,0.2135,0.1195,0.3328,0.5725
Longxi River (SAT),Moxi town (UAV-1m),0.5260,0.0344,0.0646,0.0334,0.4828,0.9323
Longxi River (UAV),Moxi town (UAV-1m),0.1341,0.7402,0.2271,0.1281,0.3837,0.6575
Mengdong Township,Moxi town (UAV-1m),0.1601,0.4614,0.2377,0.1349,0.4637,0.7989
Moxi town (UAV-0.2m),Moxi town (UAV-1m),0.3790,0.2317,0.2876,0.1679,0.5443,0.9220
Moxitaidi (SAT),Moxi town (UAV-1m),0.0607,0.1832,0.0912,0.0478,0.3982,0.7519
Moxitaidi (UAV-0.6m),Moxi town (UAV-1m),0.2947,0.0644,0.1057,0.0558,0.4907,0.9259
Moxitaidi (UAV-1m),Moxi town (UAV-1m),0.4001,0.0845,0.1395,0.0750,0.5019,0.9292
palu,Moxi town (UAV-1m),0.1910,0.0652,0.0972,0.0511,0.4842,0.9177
Tiburon Peninsula (planet),Moxi town (UAV-1m),0.2651,0.7362,0.3898,0.2421,0.5386,0.8434
Tiburon Peninsula (Sentinel),Moxi town (UAV-1m),0.1297,0.7526,0.2212,0.1244,0.3724,0.6399
Wenchuan,Moxi town (UAV-1m),0.1627,0.4334,0.2366,0.1342,0.4692,0.8100
Hokkaido Iburi-Tobu,Moxitaidi (SAT),0.3643,0.4613,0.4071,0.2556,0.5832,0.9135
Jiuzhai valley (UAV-0.2m),Moxitaidi (SAT),0.4967,0.4835,0.4900,0.3245,0.6288,0.9352
Jiuzhai valley (UAV-0.5m),Moxitaidi (SAT),0.3631,0.3321,0.3469,0.2099,0.5638,0.9195
Lombok,Moxitaidi (SAT),0.1394,0.0968,0.1143,0.0606,0.4817,0.9033
Longxi River (SAT),Moxitaidi (SAT),0.5269,0.0438,0.0809,0.0421,0.4889,0.9359
Longxi River (UAV),Moxitaidi (SAT),0.1755,0.8618,0.2917,0.1707,0.4427,0.7304
Mengdong Township,Moxitaidi (SAT),0.8282,0.1737,0.2872,0.1677,0.5558,0.9445
Moxi town (UAV-0.2m),Moxitaidi (SAT),0.8563,0.2116,0.3394,0.2044,0.5753,0.9469
Moxi town (UAV-1m),Moxitaidi (SAT),0.4644,0.4295,0.4463,0.2872,0.6083,0.9314
Moxitaidi (UAV-0.6m),Moxitaidi (SAT),0.9495,0.2335,0.3749,0.2307,0.5899,0.9498
Moxitaidi (UAV-1m),Moxitaidi (SAT),0.6794,0.4131,0.5138,0.3457,0.6470,0.9496
palu,Moxitaidi (SAT),0.2832,0.1052,0.1535,0.0831,0.5039,0.9252
Tiburon Peninsula (planet),Moxitaidi (SAT),0.2790,0.6398,0.3886,0.2412,0.5530,0.8704
Tiburon Peninsula (Sentinel),Moxitaidi (SAT),0.1638,0.0175,0.0316,0.0161,0.4735,0.9310
Wenchuan,Moxitaidi (SAT),0.2406,0.1907,0.2128,0.1190,0.5135,0.9091
Hokkaido Iburi-Tobu,Moxitaidi (UAV-0.6m),0.2610,0.6003,0.3638,0.2224,0.5125,0.8131
Jiuzhai valley (UAV-0.2m),Moxitaidi (UAV-0.6m),0.2006,0.6260,0.3038,0.1791,0.4543,0.7445
Jiuzhai valley (UAV-0.5m),Moxitaidi (UAV-0.6m),0.2534,0.3439,0.2918,0.1708,0.5087,0.8513
Lombok,Moxitaidi (UAV-0.6m),0.1528,0.0976,0.1191,0.0633,0.4668,0.8714
Longxi River (SAT),Moxitaidi (UAV-0.6m),0.1985,0.2093,0.2038,0.1135,0.4825,0.8544
Longxi River (UAV),Moxitaidi (UAV-0.6m),0.1819,0.5629,0.2749,0.1594,0.4405,0.7357
Mengdong Township,Moxitaidi (UAV-0.6m),0.4902,0.3529,0.4104,0.2582,0.5825,0.9097
Moxi town (UAV-0.2m),Moxitaidi (UAV-0.6m),0.4690,0.4102,0.4376,0.2801,0.5913,0.9061
Moxi town (UAV-1m),Moxitaidi (UAV-0.6m),0.4278,0.2597,0.3232,0.1927,0.5468,0.9032
Moxitaidi (SAT),Moxitaidi (UAV-0.6m),0.1372,0.9234,0.2389,0.1357,0.2825,0.4762
Moxitaidi (UAV-1m),Moxitaidi (UAV-0.6m),0.4115,0.7885,0.5408,0.3706,0.6212,0.8808
palu,Moxitaidi (UAV-0.6m),0.2920,0.0188,0.0353,0.0180,0.4632,0.9086
Tiburon Peninsula (planet),Moxitaidi (UAV-0.6m),0.2075,0.6034,0.3088,0.1826,0.4642,0.7594
Tiburon Peninsula (Sentinel),Moxitaidi (UAV-0.6m),0.1220,0.0417,0.0622,0.0321,0.4598,0.8879
Wenchuan,Moxitaidi (UAV-0.6m),0.2587,0.2792,0.2686,0.1551,0.5081,0.8646
Hokkaido Iburi-Tobu,Moxitaidi (UAV-1m),0.1956,0.5025,0.2815,0.1638,0.4807,0.8053
Jiuzhai valley (UAV-0.2m),Moxitaidi (UAV-1m),0.2192,0.6342,0.3258,0.1946,0.4927,0.8008
Jiuzhai valley (UAV-0.5m),Moxitaidi (UAV-1m),0.1766,0.6898,0.2812,0.1636,0.4405,0.7322
Lombok,Moxitaidi (UAV-1m),0.0822,0.1455,0.1050,0.0554,0.4325,0.8117
Longxi River (SAT),Moxitaidi (UAV-1m),0.3225,0.0529,0.0910,0.0476,0.4835,0.9197
Longxi River (UAV),Moxitaidi (UAV-1m),0.1477,0.6981,0.2438,0.1388,0.3958,0.6712
Mengdong Township,Moxitaidi (UAV-1m),0.3906,0.4106,0.4003,0.2502,0.5769,0.9066
